,Length [m],Value [°C]
1,0,504.23
2,6.25E-08,504.2
3,1.25E-07,504.17
4,1.88E-07,504.14
5,2.50E-07,504.12
6,3.13E-07,504.09
7,3.75E-07,504.06
8,4.38E-07,504.03
9,5.00E-07,504
10,5.63E-07,503.92
11,6.25E-07,503.85
12,6.88E-07,503.77
13,7.50E-07,503.69
14,8.13E-07,503.61
15,8.75E-07,503.53
16,9.38E-07,503.45
17,1.00E-06,503.37
18,1.06E-06,503.26
19,1.13E-06,503.15
20,1.19E-06,503.04
21,1.25E-06,502.93
22,1.31E-06,502.82
23,1.38E-06,502.71
24,1.44E-06,502.6
25,1.50E-06,502.49
26,1.56E-06,502.37
27,1.63E-06,502.25
28,1.69E-06,502.14
29,1.75E-06,502.02
30,1.81E-06,501.9
31,1.88E-06,501.78
32,1.94E-06,501.67
33,2.00E-06,501.55
34,2.06E-06,501.45
35,2.13E-06,501.36
36,2.19E-06,501.26
37,2.25E-06,501.17
38,2.31E-06,501.07
39,2.38E-06,500.97
40,2.44E-06,500.88
41,2.50E-06,500.78
42,2.56E-06,500.73
43,2.63E-06,500.68
44,2.69E-06,500.63
45,2.75E-06,500.58
46,2.81E-06,500.52
47,2.88E-06,500.47
48,2.94E-06,500.42
49,3.00E-06,500.37
