	Length [m]	Value [°C]	
1	0.	44.55	
2	6.25e-008	44.417	
3	1.25e-007	44.284	
4	1.875e-007	44.15	
5	2.5e-007	44.017	
6	3.125e-007	43.883	
7	3.75e-007	43.75	
8	4.375e-007	43.616	
9	5.e-007	43.483	
10	5.625e-007	43.115	
11	6.25e-007	42.747	
12	6.875e-007	42.379	
13	7.5e-007	42.011	
14	8.125e-007	41.643	
15	8.75e-007	41.275	
16	9.375e-007	40.907	
17	1.e-006	40.54	
18	1.0625e-006	40.026	
19	1.125e-006	39.512	
20	1.1875e-006	38.998	
21	1.25e-006	38.484	
22	1.3125e-006	37.97	
23	1.375e-006	37.456	
24	1.4375e-006	36.942	
25	1.5e-006	36.428	
26	1.5625e-006	35.89	
27	1.625e-006	35.352	
28	1.6875e-006	34.815	
29	1.75e-006	34.277	
30	1.8125e-006	33.74	
31	1.875e-006	33.202	
32	1.9375e-006	32.665	
33	2.e-006	32.127	
34	2.0625e-006	31.692	
35	2.125e-006	31.257	
36	2.1875e-006	30.822	
37	2.25e-006	30.387	
38	2.3125e-006	29.952	
39	2.375e-006	29.517	
40	2.4375e-006	29.082	
41	2.5e-006	28.647	
42	2.5625e-006	28.415	
43	2.625e-006	28.183	
44	2.6875e-006	27.951	
45	2.75e-006	27.719	
46	2.8125e-006	27.488	
47	2.875e-006	27.256	
48	2.9375e-006	27.024	
49	3.e-006	26.792	
