	Length [m]	Value [°C]	
1	0.	508.54	
2	6.25e-008	508.48	
3	1.25e-007	508.42	
4	1.875e-007	508.36	
5	2.5e-007	508.31	
6	3.125e-007	508.25	
7	3.75e-007	508.19	
8	4.375e-007	508.13	
9	5.e-007	508.08	
10	5.625e-007	507.92	
11	6.25e-007	507.76	
12	6.875e-007	507.6	
13	7.5e-007	507.44	
14	8.125e-007	507.28	
15	8.75e-007	507.11	
16	9.375e-007	506.95	
17	1.e-006	506.79	
18	1.0625e-006	506.57	
19	1.125e-006	506.34	
20	1.1875e-006	506.12	
21	1.25e-006	505.89	
22	1.3125e-006	505.66	
23	1.375e-006	505.44	
24	1.4375e-006	505.21	
25	1.5e-006	504.98	
26	1.5625e-006	504.74	
27	1.625e-006	504.51	
28	1.6875e-006	504.27	
29	1.75e-006	504.03	
30	1.8125e-006	503.79	
31	1.875e-006	503.55	
32	1.9375e-006	503.31	
33	2.e-006	503.07	
34	2.0625e-006	502.87	
35	2.125e-006	502.67	
36	2.1875e-006	502.48	
37	2.25e-006	502.28	
38	2.3125e-006	502.09	
39	2.375e-006	501.89	
40	2.4375e-006	501.69	
41	2.5e-006	501.5	
42	2.5625e-006	501.39	
43	2.625e-006	501.29	
44	2.6875e-006	501.18	
45	2.75e-006	501.08	
46	2.8125e-006	500.97	
47	2.875e-006	500.87	
48	2.9375e-006	500.76	
49	3.e-006	500.66	
