	Length [m]	Value [°C]	
1	0.	561.55	
2	2.0833e-008	561.49	
3	4.1667e-008	560.24	
4	6.25e-008	558.03	
5	8.3333e-008	555.12	
6	1.0417e-007	551.62	
7	1.25e-007	547.82	
8	1.4583e-007	543.87	
9	1.6667e-007	539.9	
10	1.875e-007	536.03	
11	2.0833e-007	532.32	
12	2.2917e-007	528.85	
13	2.5e-007	525.63	
14	2.7083e-007	522.65	
15	2.9167e-007	519.91	
16	3.125e-007	517.51	
17	3.3333e-007	515.34	
18	3.5417e-007	513.34	
19	3.75e-007	511.65	
20	3.9583e-007	510.12	
21	4.1667e-007	508.76	
22	4.375e-007	507.61	
23	4.5833e-007	506.53	
24	4.7917e-007	505.67	
25	5.e-007	504.85	
26	5.2083e-007	504.2	
27	5.4167e-007	503.59	
28	5.625e-007	503.1	
29	5.8333e-007	502.65	
30	6.0417e-007	502.27	
31	6.25e-007	501.95	
32	6.4583e-007	501.64	
33	6.6667e-007	501.43	
34	6.875e-007	501.21	
35	7.0833e-007	501.03	
36	7.2917e-007	500.89	
37	7.5e-007	500.75	
38	7.7083e-007	500.64	
39	7.9167e-007	500.55	
40	8.125e-007	500.46	
41	8.3333e-007	500.39	
42	8.5417e-007	500.34	
43	8.75e-007	500.29	
44	8.9583e-007	500.24	
45	9.1667e-007	500.21	
46	9.375e-007	500.18	
47	9.5833e-007	500.15	
48	9.7917e-007	500.13	
49	1.e-006	500.11	
