,Length [m],Value [°C]
1,0,44.55
2,6.25E-08,44.417
3,1.25E-07,44.284
4,1.88E-07,44.15
5,2.50E-07,44.017
6,3.13E-07,43.883
7,3.75E-07,43.75
8,4.38E-07,43.616
9,5.00E-07,43.483
10,5.63E-07,43.115
11,6.25E-07,42.747
12,6.88E-07,42.379
13,7.50E-07,42.011
14,8.13E-07,41.643
15,8.75E-07,41.275
16,9.38E-07,40.907
17,1.00E-06,40.54
18,1.06E-06,40.026
19,1.13E-06,39.512
20,1.19E-06,38.998
21,1.25E-06,38.484
22,1.31E-06,37.97
23,1.38E-06,37.456
24,1.44E-06,36.942
25,1.50E-06,36.428
26,1.56E-06,35.89
27,1.63E-06,35.352
28,1.69E-06,34.815
29,1.75E-06,34.277
30,1.81E-06,33.74
31,1.88E-06,33.202
32,1.94E-06,32.665
33,2.00E-06,32.127
34,2.06E-06,31.692
35,2.13E-06,31.257
36,2.19E-06,30.822
37,2.25E-06,30.387
38,2.31E-06,29.952
39,2.38E-06,29.517
40,2.44E-06,29.082
41,2.50E-06,28.647
42,2.56E-06,28.415
43,2.63E-06,28.183
44,2.69E-06,27.951
45,2.75E-06,27.719
46,2.81E-06,27.488
47,2.88E-06,27.256
48,2.94E-06,27.024
49,3.00E-06,26.792
