,Length [m],Value [°C]
1,0,561.55
2,6.25E-08,561.12
3,1.25E-07,560.69
4,1.88E-07,560.26
5,2.50E-07,559.83
6,3.13E-07,559.4
7,3.75E-07,558.97
8,4.38E-07,558.54
9,5.00E-07,558.1
10,5.63E-07,556.91
11,6.25E-07,555.72
12,6.88E-07,554.52
13,7.50E-07,553.33
14,8.13E-07,552.14
15,8.75E-07,550.94
16,9.38E-07,549.75
17,1.00E-06,548.55
18,1.06E-06,546.87
19,1.13E-06,545.19
20,1.19E-06,543.51
21,1.25E-06,541.83
22,1.31E-06,540.15
23,1.38E-06,538.47
24,1.44E-06,536.79
25,1.50E-06,535.11
26,1.56E-06,533.33
27,1.63E-06,531.56
28,1.69E-06,529.78
29,1.75E-06,528.01
30,1.81E-06,526.23
31,1.88E-06,524.46
32,1.94E-06,522.68
33,2.00E-06,520.91
34,2.06E-06,519.46
35,2.13E-06,518.01
36,2.19E-06,516.56
37,2.25E-06,515.12
38,2.31E-06,513.67
39,2.38E-06,512.22
40,2.44E-06,510.77
41,2.50E-06,509.33
42,2.56E-06,508.55
43,2.63E-06,507.78
44,2.69E-06,507.01
45,2.75E-06,506.23
46,2.81E-06,505.46
47,2.88E-06,504.69
48,2.94E-06,503.92
49,3.00E-06,503.14
