,Length [m],Value [°C]
1,0,515.19
2,6.25E-08,515.09
3,1.25E-07,514.99
4,1.88E-07,514.88
5,2.50E-07,514.78
6,3.13E-07,514.68
7,3.75E-07,514.58
8,4.38E-07,514.48
9,5.00E-07,514.38
10,5.63E-07,514.1
11,6.25E-07,513.82
12,6.88E-07,513.54
13,7.50E-07,513.26
14,8.13E-07,512.98
15,8.75E-07,512.69
16,9.38E-07,512.41
17,1.00E-06,512.13
18,1.06E-06,511.74
19,1.13E-06,511.35
20,1.19E-06,510.95
21,1.25E-06,510.56
22,1.31E-06,510.16
23,1.38E-06,509.77
24,1.44E-06,509.37
25,1.50E-06,508.98
26,1.56E-06,508.56
27,1.63E-06,508.15
28,1.69E-06,507.73
29,1.75E-06,507.32
30,1.81E-06,506.9
31,1.88E-06,506.49
32,1.94E-06,506.07
33,2.00E-06,505.66
34,2.06E-06,505.32
35,2.13E-06,504.98
36,2.19E-06,504.64
37,2.25E-06,504.31
38,2.31E-06,503.97
39,2.38E-06,503.63
40,2.44E-06,503.29
41,2.50E-06,502.95
42,2.56E-06,502.77
43,2.63E-06,502.59
44,2.69E-06,502.41
45,2.75E-06,502.23
46,2.81E-06,502.05
47,2.88E-06,501.87
48,2.94E-06,501.69
49,3.00E-06,501.51
