,Length [m],Value [°C]
1,0,38.517
2,6.25E-08,38.426
3,1.25E-07,38.335
4,1.88E-07,38.244
5,2.50E-07,38.153
6,3.13E-07,38.062
7,3.75E-07,37.97
8,4.38E-07,37.879
9,5.00E-07,37.788
10,5.63E-07,37.536
11,6.25E-07,37.283
12,6.88E-07,37.031
13,7.50E-07,36.778
14,8.13E-07,36.526
15,8.75E-07,36.273
16,9.38E-07,36.02
17,1.00E-06,35.768
18,1.06E-06,35.412
19,1.13E-06,35.057
20,1.19E-06,34.701
21,1.25E-06,34.346
22,1.31E-06,33.99
23,1.38E-06,33.635
24,1.44E-06,33.279
25,1.50E-06,32.924
26,1.56E-06,32.549
27,1.63E-06,32.173
28,1.69E-06,31.798
29,1.75E-06,31.422
30,1.81E-06,31.047
31,1.88E-06,30.672
32,1.94E-06,30.296
33,2.00E-06,29.921
34,2.06E-06,29.615
35,2.13E-06,29.308
36,2.19E-06,29.002
37,2.25E-06,28.695
38,2.31E-06,28.389
39,2.38E-06,28.082
40,2.44E-06,27.776
41,2.50E-06,27.469
42,2.56E-06,27.305
43,2.63E-06,27.141
44,2.69E-06,26.976
45,2.75E-06,26.812
46,2.81E-06,26.648
47,2.88E-06,26.484
48,2.94E-06,26.319
49,3.00E-06,26.155
