,Length [m],Value [°C]
1,0,600.68
2,2.08E-08,599.49
3,4.17E-08,592.45
4,6.25E-08,582.83
5,8.33E-08,572.47
6,1.04E-07,562.39
7,1.25E-07,553.07
8,1.46E-07,544.73
9,1.67E-07,537.46
10,1.88E-07,531.23
11,2.08E-07,525.97
12,2.29E-07,521.56
13,2.50E-07,517.85
14,2.71E-07,514.73
15,2.92E-07,512.08
16,3.13E-07,510.02
17,3.33E-07,508.27
18,3.54E-07,506.76
19,3.75E-07,505.61
20,3.96E-07,504.61
21,4.17E-07,503.78
22,4.38E-07,503.14
23,4.58E-07,502.56
24,4.79E-07,502.13
25,5.00E-07,501.73
26,5.21E-07,501.44
27,5.42E-07,501.18
28,5.63E-07,500.98
29,5.83E-07,500.8
30,6.04E-07,500.66
31,6.25E-07,500.55
32,6.46E-07,500.44
33,6.67E-07,500.37
34,6.88E-07,500.3
35,7.08E-07,500.25
36,7.29E-07,500.21
37,7.50E-07,500.17
38,7.71E-07,500.14
39,7.92E-07,500.12
40,8.13E-07,500.09
41,8.33E-07,500.08
42,8.54E-07,500.07
43,8.75E-07,500.05
44,8.96E-07,500.04
45,9.17E-07,500.04
46,9.38E-07,500.03
47,9.58E-07,500.02
48,9.79E-07,500.02
49,1.00E-06,500.02
