,Length [m],Value [°C]
1,0,502.03
2,6.25E-08,502.01
3,1.25E-07,502
4,1.88E-07,501.99
5,2.50E-07,501.97
6,3.13E-07,501.96
7,3.75E-07,501.95
8,4.38E-07,501.93
9,5.00E-07,501.92
10,5.63E-07,501.88
11,6.25E-07,501.85
12,6.88E-07,501.81
13,7.50E-07,501.77
14,8.13E-07,501.73
15,8.75E-07,501.7
16,9.38E-07,501.66
17,1.00E-06,501.62
18,1.06E-06,501.57
19,1.13E-06,501.52
20,1.19E-06,501.47
21,1.25E-06,501.41
22,1.31E-06,501.36
23,1.38E-06,501.31
24,1.44E-06,501.26
25,1.50E-06,501.2
26,1.56E-06,501.15
27,1.63E-06,501.09
28,1.69E-06,501.04
29,1.75E-06,500.98
30,1.81E-06,500.93
31,1.88E-06,500.87
32,1.94E-06,500.81
33,2.00E-06,500.76
34,2.06E-06,500.71
35,2.13E-06,500.67
36,2.19E-06,500.62
37,2.25E-06,500.58
38,2.31E-06,500.53
39,2.38E-06,500.49
40,2.44E-06,500.44
41,2.50E-06,500.39
42,2.56E-06,500.37
43,2.63E-06,500.35
44,2.69E-06,500.32
45,2.75E-06,500.3
46,2.81E-06,500.27
47,2.88E-06,500.25
48,2.94E-06,500.22
49,3.00E-06,500.2
