,Length [m],Value [°C]
1,0,516.64
2,6.25E-08,516.53
3,1.25E-07,516.41
4,1.88E-07,516.3
5,2.50E-07,516.19
6,3.13E-07,516.07
7,3.75E-07,515.96
8,4.38E-07,515.85
9,5.00E-07,515.73
10,5.63E-07,515.42
11,6.25E-07,515.1
12,6.88E-07,514.78
13,7.50E-07,514.47
14,8.13E-07,514.15
15,8.75E-07,513.84
16,9.38E-07,513.52
17,1.00E-06,513.2
18,1.06E-06,512.76
19,1.13E-06,512.31
20,1.19E-06,511.87
21,1.25E-06,511.42
22,1.31E-06,510.97
23,1.38E-06,510.53
24,1.44E-06,510.08
25,1.50E-06,509.64
26,1.56E-06,509.16
27,1.63E-06,508.69
28,1.69E-06,508.22
29,1.75E-06,507.75
30,1.81E-06,507.27
31,1.88E-06,506.8
32,1.94E-06,506.33
33,2.00E-06,505.86
34,2.06E-06,505.47
35,2.13E-06,505.08
36,2.19E-06,504.7
37,2.25E-06,504.31
38,2.31E-06,503.92
39,2.38E-06,503.53
40,2.44E-06,503.15
41,2.50E-06,502.76
42,2.56E-06,502.55
43,2.63E-06,502.35
44,2.69E-06,502.14
45,2.75E-06,501.93
46,2.81E-06,501.73
47,2.88E-06,501.52
48,2.94E-06,501.31
49,3.00E-06,501.1
