====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Si(6.5 MeV) ==> None(  3 um) ==============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 6500 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     3.E+04 AAA ;
  Layer # 1- Density = 8.110E22 atoms/cm3 = 2.7 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
300010.E-03  115401.E-06  125545.E-05
600010.E-03  111280.E-06  145702.E-05
900010.E-03  112042.E-06  151526.E-05
120001.E-02  113625.E-06  164424.E-05
150001.E-02  115344.E-06  163171.E-05
180001.E-02  117641.E-06  173326.E-05
210001.E-02  118433.E-06  190823.E-05
240001.E-02  120866.E-06  163868.E-05
270001.E-02  122042.E-06  188821.E-05
300001.E-02  124890.E-06  193083.E-05
330001.E-02  126996.E-06  189392.E-05
360001.E-02  128988.E-06  185693.E-05
390001.E-02  131003.E-06  201303.E-05
420001.E-02  133045.E-06  198649.E-05
450001.E-02  134600.E-06  189613.E-05
480001.E-02  136855.E-06  227000.E-05
510001.E-02  139480.E-06  214503.E-05
540001.E-02  142520.E-06  242391.E-05
570001.E-02  144726.E-06  224874.E-05
600001.E-02  147545.E-06  245425.E-05
630001.E-02  150246.E-06  249515.E-05
660001.E-02  154184.E-06  262573.E-05
690001.E-02  156082.E-06  249866.E-05
720001.E-02  160657.E-06  280594.E-05
750001.E-02  162830.E-06  305968.E-05
780001.E-02  167597.E-06  287691.E-05
810001.E-02  170802.E-06  320268.E-05
840001.E-02  174557.E-06  311809.E-05
870001.E-02  178588.E-06  333903.E-05
900001.E-02  182189.E-06  340343.E-05
930001.E-02  187296.E-06  338478.E-05
960001.E-02  192808.E-06  369216.E-05
990001.E-02  197208.E-06  401509.E-05
102000.E-01  203337.E-06  432933.E-05
105000.E-01  208665.E-06  411682.E-05
108000.E-01  215098.E-06  434340.E-05
111000.E-01  223083.E-06  484030.E-05
114000.E-01  228448.E-06  461514.E-05
117000.E-01  233014.E-06  512026.E-05
120000.E-01  240377.E-06  521357.E-05
123000.E-01  248813.E-06  552325.E-05
126000.E-01  257010.E-06  589938.E-05
129000.E-01  264781.E-06  590386.E-05
132000.E-01  272948.E-06  671480.E-05
135000.E-01  285446.E-06  694527.E-05
138000.E-01  296836.E-06  728897.E-05
141000.E-01  306423.E-06  764301.E-05
144000.E-01  318360.E-06  827208.E-05
147000.E-01  333994.E-06  895346.E-05
150000.E-01  348828.E-06  965773.E-05
153000.E-01  360273.E-06  106640.E-04
156000.E-01  373961.E-06  110440.E-04
159000.E-01  388323.E-06  115608.E-04
162000.E-01  402430.E-06  131179.E-04
165000.E-01  419334.E-06  136320.E-04
168000.E-01  437793.E-06  148683.E-04
171000.E-01  448007.E-06  159148.E-04
174000.E-01  463448.E-06  167245.E-04
177000.E-01  469868.E-06  173241.E-04
180000.E-01  479326.E-06  187145.E-04
183000.E-01  484548.E-06  193063.E-04
186000.E-01  484731.E-06  199627.E-04
189000.E-01  487360.E-06  202629.E-04
192000.E-01  482551.E-06  199495.E-04
195000.E-01  459285.E-06  192000.E-04
198000.E-01  432509.E-06  185712.E-04
201000.E-01  413490.E-06  176407.E-04
204000.E-01  378174.E-06  162741.E-04
207000.E-01  331567.E-06  140190.E-04
210000.E-01  284074.E-06  119645.E-04
213000.E-01  237896.E-06  981520.E-05
216000.E-01  181876.E-06  754277.E-05
219000.E-01  150288.E-06  594082.E-05
222000.E-01  116885.E-06  476269.E-05
225000.E-01  813044.E-07  307091.E-05
228000.E-01  536608.E-07  210924.E-05
231000.E-01  358169.E-07  131063.E-05
234000.E-01  228739.E-07  909354.E-06
237000.E-01  156327.E-07  511098.E-06
240000.E-01  713276.E-08  239855.E-06
243000.E-01  497981.E-08  152094.E-06
246000.E-01  303596.E-08  116069.E-06
249000.E-01  122920.E-08  444449.E-07
252000.E-01  109442.E-08  285760.E-07
255000.E-01  550044.E-09  142869.E-07
258000.E-01  267874.E-09  812644.E-08
261000.E-01  271094.E-09  134547.E-07
264000.E-01  000000.E+00  000000.E+00
267000.E-01  000000.E+00  000000.E+00
270000.E-01  000000.E+00  000000.E+00
273000.E-01  000000.E+00  000000.E+00
276000.E-01  000000.E+00  000000.E+00
279000.E-01  000000.E+00  000000.E+00
282000.E-01  000000.E+00  000000.E+00
285000.E-01  000000.E+00  000000.E+00
288000.E-01  000000.E+00  000000.E+00
291000.E-01  000000.E+00  000000.E+00
294000.E-01  000000.E+00  000000.E+00
297000.E-01  000000.E+00  000000.E+00
300000.E-01  000000.E+00  000000.E+00
