============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Si (14)   Ion Mass= 028.0000
Energy  = 6500000.E-03 keV
Ion Angle to Surface = 45.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.7000 g/cm3
  Layer # 1 -  50 % of Si
  Layer # 1 -  50 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1322E+04  1.7170E+04 -3.1247E+03
0000002   2.1042E+04  2.0432E+04 -5.1564E+02
0000003   1.8739E+04  2.2453E+04  2.5387E+03
0000004   2.1522E+04  1.9211E+04 -2.5404E+03
0000005   1.8044E+04  2.0306E+04  4.4701E+03
0000006   2.1176E+04  1.9072E+04 -3.9817E+03
0000007   2.0402E+04  2.1540E+04  2.4543E+02
0000008   1.7892E+04  1.9475E+04 -3.3584E+03
0000009   2.2179E+04  2.0227E+04  1.7063E+03
0000010   1.5415E+04  2.1404E+04 -7.0399E+02
0000011   2.0037E+04  2.1489E+04 -8.6143E+02
0000012   1.9034E+04  2.2815E+04 -8.1710E+02
0000013   1.7903E+04  2.0063E+04  1.8124E+03
0000014   2.0644E+04  2.1542E+04 -7.5325E+02
0000015   2.3862E+04  1.5073E+04  3.3133E+02
0000016   2.0295E+04  2.0958E+04 -5.7977E+02
0000017   2.0236E+04  2.1463E+04  6.3009E+02
0000018   1.9872E+04  2.0650E+04 -1.7184E+03
0000019   2.1120E+04  2.0419E+04  6.6472E+02
0000020   2.3231E+04  1.9310E+04  1.0522E+03
0000021   2.1963E+04  2.0571E+04  1.6177E+03
0000022   2.0750E+04  2.0454E+04 -5.9955E+01
0000023   2.2388E+04  1.9449E+04 -3.4720E+02
0000024   1.9512E+04  1.8666E+04 -5.8463E+03
0000025   2.0915E+04  1.9787E+04  1.6155E+03
0000026   1.8677E+04  2.0244E+04  4.5206E+02
0000027   1.9208E+04  2.1565E+04 -1.9196E+02
0000028   1.9312E+04  2.1876E+04  1.4508E+02
0000029   2.1821E+04  1.8459E+04  1.8806E+02
0000030   1.8992E+04  1.7426E+04 -2.8205E+03
0000031   1.8564E+04  2.1609E+04 -3.9972E+03
0000032   2.2743E+04  1.8986E+04  6.8641E+02
0000033   2.3491E+04  1.9543E+04  2.4030E+02
0000034   2.0460E+04  2.0054E+04 -1.6785E+03
0000035   2.0396E+04  2.1148E+04  9.2205E+02
0000036   2.0420E+04  2.1357E+04  3.0855E+02
0000037   1.9296E+04  2.2449E+04  8.4782E+02
0000038   1.8052E+04  2.3386E+04 -2.7668E+03
0000039   2.0625E+04  1.8899E+04  3.6575E+03
0000040   2.3283E+04  1.7991E+04 -3.8429E+03
0000041   2.0420E+04  2.1225E+04 -1.5773E+03
0000042   2.0836E+04  2.0500E+04  6.5282E+03
0000043   1.8651E+04  1.8473E+04 -1.0716E+03
0000044   2.0575E+04  2.0302E+04  4.1908E+03
0000045   2.1620E+04  1.9559E+04  1.5157E+03
0000046   1.7101E+04  2.1464E+04 -3.4554E+03
0000047   1.8441E+04  2.0846E+04  6.9105E+02
0000048   2.0642E+04  2.2104E+04 -1.0064E+03
0000049   1.4352E+04  2.1317E+04  2.6584E+03
0000050   2.2959E+04  1.8811E+04  6.6112E+02
0000051   2.1434E+04  2.1623E+04  1.9166E+03
0000052   1.7892E+04  2.1896E+04  3.9249E+03
0000053   1.9208E+04  2.0125E+04  2.0013E+03
0000054   1.9291E+04  2.1558E+04 -5.1615E+02
0000055   2.1241E+04  2.0566E+04  1.2501E+03
0000056   1.9403E+04  1.6615E+04  3.5360E+03
0000057   1.3894E+04  1.3381E+04  1.1848E+03
0000058   2.0429E+04  1.8516E+04  8.8573E+02
0000059   1.9921E+04  2.0626E+04 -1.3286E+02
0000060   2.0195E+04  2.1667E+04 -3.1448E+03
0000061   1.8777E+04  1.8972E+04  9.1937E+02
0000062   2.2202E+04  2.0890E+04 -1.4068E+03
0000063   2.0952E+04  2.0630E+04  3.7072E+02
0000064   1.7835E+04  2.1347E+04 -1.1736E+03
0000065   1.8807E+04  2.0094E+04 -1.3157E+02
0000066   1.9221E+04  2.0661E+04  3.8275E+02
0000067   2.2686E+04  1.7788E+04 -1.2984E+03
0000068   2.1418E+04  2.0407E+04  1.7513E+02
0000069   2.0985E+04  1.8087E+04 -1.7719E+03
0000070   1.4488E+04  1.9699E+04  4.4878E+03
0000071   1.9941E+04  2.1934E+04  1.1322E+02
0000072   2.1714E+04  1.9884E+04  4.4979E+03
0000073   1.9693E+04  2.1144E+04 -9.7122E+02
0000074   2.0540E+04  2.0008E+04  5.1233E+03
0000075   1.9391E+04  1.9604E+04  3.4856E+03
0000076   2.0555E+04  2.0238E+04 -8.2710E+02
0000077   1.9302E+04  2.0982E+04 -3.1055E+03
0000078   2.2271E+04  1.5930E+04 -1.5507E+03
0000079   1.8422E+04  2.2724E+04  3.3239E+03
0000080   1.6532E+04  2.2533E+04  9.4144E+01
0000081   2.2727E+04  1.7512E+04 -1.6634E+03
0000082   1.6394E+04  1.7077E+04 -3.8093E+03
0000083   2.0694E+04  1.8267E+04 -2.2641E+02
0000084   2.1692E+04  1.7894E+04 -1.9223E+03
0000085   2.1121E+04  2.0118E+04 -3.6017E+02
0000086   2.2510E+04  1.4859E+04 -4.7240E+03
0000087   1.8990E+04  2.0920E+04  2.6026E+03
0000088   1.8643E+04  2.1189E+04 -3.9830E+03
0000089   2.1608E+04  1.8957E+04 -4.2746E+02
0000090   1.9446E+04  1.5760E+04 -1.6779E+01
0000091   1.8112E+04  2.0770E+04  2.9272E+03
0000092   2.2695E+04  1.8349E+04 -2.5757E+03
0000093   2.0630E+04  1.8694E+04  3.4270E+02
0000094   1.7664E+04  2.0979E+04  3.1908E+02
0000095   2.1941E+04  1.9624E+04 -1.8350E+03
0000096   2.0666E+04  1.8019E+04 -9.2798E+02
0000097   2.0468E+04  2.0904E+04  8.6116E+02
0000098   1.9985E+04  2.1234E+04  2.0151E+03
0000099   1.8388E+04  2.1163E+04  1.9486E+03
0000100   2.1180E+04  1.8879E+04  1.7856E+03
0000101   1.9773E+04  2.0668E+04 -9.6102E+02
0000102   2.0215E+04  1.9587E+04  1.5025E+03
0000103   1.9125E+04  2.1480E+04 -2.3915E+02
0000104   2.1023E+04  1.8276E+04 -3.4632E+03
0000105   1.9328E+04  2.0969E+04 -5.8407E+02
0000106   1.9479E+04  1.9627E+04  6.3369E+03
0000107   2.1568E+04  2.1767E+04 -1.1677E+02
0000108   2.1354E+04  1.8411E+04 -1.6285E+03
0000109   2.2293E+04  1.9702E+04  6.2230E+02
0000110   2.0454E+04  2.1140E+04 -3.0702E+03
0000111   1.7301E+04  2.0117E+04  8.5217E+02
0000112   1.6261E+04  2.1807E+04 -1.7602E+03
0000113   1.6207E+04  2.0898E+04  2.4466E+03
0000114   1.9078E+04  2.1404E+04  1.0998E+03
0000115   1.8910E+04  2.1659E+04 -2.1796E+02
0000116   2.1712E+04  1.9343E+04 -8.6729E+02
0000117   2.0013E+04  1.7681E+04 -9.6267E+02
0000118   2.0133E+04  1.9964E+04  1.5473E+03
0000119   1.9343E+04  2.2507E+04 -4.1022E+03
0000120   1.9336E+04  1.9943E+04 -7.8320E+02
0000121   1.6736E+04  2.0507E+04  1.5738E+03
0000122   2.3299E+04  1.8349E+04 -2.6122E+03
0000123   2.1506E+04  2.0702E+04  6.2946E+02
0000124   1.7091E+04  2.1247E+04  2.4941E+03
0000125   2.0609E+04  1.1429E+04 -6.7413E+03
0000126   2.0802E+04  1.8281E+04 -1.6355E+03
0000127   2.0841E+04  2.1463E+04 -4.1377E+02
0000128   1.9210E+04  2.0491E+04  1.8343E+03
0000129   1.9421E+04  2.1142E+04 -2.8154E+03
0000130   1.9693E+04  1.9581E+04  9.8606E+02
0000131   2.0188E+04  2.1670E+04 -1.7860E+03
0000132   2.0379E+04  2.0274E+04  2.6138E+03
0000133   2.0689E+04  1.7665E+04 -4.1087E+03
0000134   1.8469E+04  2.1361E+04 -1.0286E+03
0000135   2.1707E+04  1.7312E+04  1.4921E+03
0000136   2.1166E+04  1.8145E+04 -3.1193E+03
0000137   1.9591E+04  1.9270E+04  2.8697E+03
0000138   1.8898E+04  1.9509E+04  2.8944E+03
0000139   1.8567E+04  1.8074E+04 -7.1449E+02
0000140   1.9842E+04  2.1964E+04  1.3689E+03
0000141   9.1925E+03  1.6816E+04 -5.7562E+03
0000142   2.0239E+04  2.0555E+04 -3.0925E+03
0000143   1.9899E+04  2.1434E+04 -2.5824E+02
0000144   1.8912E+04  2.1034E+04 -1.0467E+03
0000145   1.7094E+04  2.1202E+04  1.3082E+03
0000146   1.8675E+04  1.9463E+04  1.5656E+03
0000147   2.1724E+04  2.0776E+04 -7.2595E+02
0000148   1.9889E+04  2.0862E+04 -2.7404E+03
0000149   1.9876E+04  2.1302E+04  1.5877E+03
0000150   2.1547E+04  1.6489E+04 -6.4184E+02
0000151   2.1173E+04  2.0864E+04  1.0271E+03
0000152   2.2539E+04  1.8130E+04 -3.0258E+03
0000153   2.2296E+04  1.8658E+04  2.3962E+03
0000154   1.3847E+04  2.3995E+04  4.8001E+03
0000155   2.0193E+04  2.0033E+04 -1.7407E+03
0000156   1.8306E+04  2.0839E+04 -2.4555E+03
0000157   2.1053E+04  1.9255E+04  9.2675E+02
0000158   2.0054E+04  2.0455E+04 -8.5243E+02
0000159   1.8311E+04  2.1956E+04  7.0025E+02
0000160   2.1083E+04  2.0719E+04  8.4713E+02
0000161   1.9448E+04  2.2612E+04  1.4488E+03
0000162   1.6590E+04  2.2602E+04  1.1121E+03
0000163   1.5357E+04  2.1731E+04 -7.1751E+02
0000164   2.0893E+04  2.0385E+04  4.2210E+03
0000165   1.6291E+04  2.1513E+04 -2.6688E+03
0000166   2.3447E+04  1.6532E+04  7.2932E+02
0000167   2.0710E+04  2.0116E+04 -2.4455E+03
0000168   2.0428E+04  1.9544E+04 -1.7183E+03
0000169   1.8456E+04  2.0165E+04  1.1230E+03
0000170   1.8726E+04  1.8220E+04 -5.9743E+02
0000171   1.7831E+04  2.3235E+04  1.9526E+03
0000172   2.0556E+04  1.6837E+04  1.2875E+03
0000173   2.1527E+04  2.1697E+04  3.2315E+02
0000174   1.9666E+04  2.0229E+04 -2.8774E+03
0000175   1.6654E+04  2.0794E+04  3.1400E+03
0000176   2.0636E+04  1.9502E+04  3.6461E+03
0000177   2.0162E+04  1.8442E+04  1.6505E+03
0000178   1.6618E+04  2.0482E+04 -2.7090E+03
0000179   1.7054E+04  2.0822E+04 -3.0533E+02
0000180   1.8229E+04  2.3062E+04 -3.4449E+03
0000181   1.8612E+04  2.1828E+04  3.8938E+03
0000182   1.8410E+04  2.1722E+04  2.0003E+03
0000183   1.7197E+04  1.7591E+04  1.9529E+03
0000184   2.2814E+04  1.7307E+04  2.8467E+03
0000185   1.7546E+04  2.2415E+04 -2.6804E+03
0000186   1.6107E+04  2.2309E+04  8.2874E+02
0000187   1.9415E+04  2.1275E+04  4.1010E+02
0000188   2.0168E+04  1.9370E+04  1.7362E+03
0000189   1.8700E+04  2.2290E+04 -1.3579E+03
0000190   1.4305E+04  2.1843E+04 -7.3634E+03
0000191   1.9042E+04  1.9593E+04 -2.9719E+03
0000192   2.1779E+04  2.1246E+04  2.3119E+02
0000193   2.2256E+04  1.8234E+04 -2.2506E+02
0000194   1.7999E+04  2.0555E+04  1.8718E+03
0000195   1.7148E+04  2.1532E+04  2.8317E+03
0000196   1.9522E+04  2.0322E+04 -1.5399E+03
0000197   1.9845E+04  2.0014E+04 -1.7630E+03
0000198   2.1622E+04  1.8183E+04  1.8004E+03
0000199   1.8857E+04  1.9233E+04  6.5433E+02
0000200   2.0402E+04  2.1117E+04  3.6699E+03
0000201   2.1978E+04  1.6155E+04  7.1538E+03
0000202   2.2203E+04  1.8612E+04 -2.0025E+03
0000203   1.7471E+04  2.1633E+04  1.9590E+03
0000204   1.9439E+04  1.8692E+04 -2.1056E+03
0000205   2.0291E+04  1.8023E+04  3.2099E+03
0000206   2.0524E+04  2.2825E+04  1.4467E+03
0000207   2.0501E+04  2.0908E+04 -9.2111E+02
0000208   1.8489E+04  2.0974E+04 -4.6174E+03
0000209   2.0071E+04  2.0901E+04  3.4727E+03
0000210   1.8702E+04  2.0722E+04 -1.9530E+03
0000211   1.9325E+04  1.8095E+04 -2.6015E+02
0000212   1.8996E+04  1.8595E+04  4.1812E+03
0000213   2.1798E+04  1.7581E+04 -4.5299E+02
0000214   2.3173E+04  2.0805E+04 -7.4671E+02
0000215   2.1223E+04  1.9457E+04  2.2451E+03
0000216   2.1771E+04  2.0835E+04  1.4791E+03
0000217   1.9154E+04  1.8482E+04 -1.6388E+03
0000218   1.8686E+04  2.1735E+04  1.3310E+03
0000219   2.0319E+04  2.2704E+04 -6.8861E+02
0000220   1.9657E+04  2.1530E+04 -2.4738E+03
0000221   2.1519E+04  1.6732E+04 -1.8059E+03
0000222   2.0550E+04  1.8186E+04 -1.6503E+03
0000223   2.0605E+04  2.1067E+04 -2.8329E+03
0000224   1.7283E+04  1.9487E+04 -4.6546E+02
0000225   2.0686E+04  2.1002E+04 -3.0094E+03
0000226   2.1903E+04  1.9381E+04  2.3114E+03
0000227   2.0640E+04  1.9890E+04  1.6277E+03
0000228   2.1709E+04  1.9977E+04 -6.9419E+02
0000229   2.0193E+04  2.0198E+04 -7.2634E+02
0000230   1.9348E+04  2.1196E+04  3.6750E+03
0000231   1.8965E+04  1.9579E+04  1.7237E+03
0000232   1.4803E+04  2.2666E+04 -3.6936E+03
0000233   2.0195E+04  1.9776E+04 -3.1894E+02
0000234   1.9451E+04  2.1885E+04 -1.1832E+03
0000235   1.9186E+04  2.0833E+04 -2.3729E+03
0000236   1.8161E+04  1.7483E+04  4.2837E+03
0000237   1.8472E+04  2.0244E+04  4.0302E+03
0000238   1.8721E+04  2.2014E+04 -1.9101E+03
0000239   1.9048E+04  1.9417E+04  2.6966E+03
0000240   1.8621E+04  2.1606E+04  2.4202E+03
0000241   1.9528E+04  2.1835E+04 -1.4114E+03
0000242   2.0140E+04  2.1591E+04  4.8358E+02
0000243   2.2149E+04  1.9095E+04  1.2067E+03
0000244   2.3408E+04  1.9187E+04 -1.0411E+03
0000245   2.0045E+04  1.9883E+04 -1.8901E+03
0000246   2.2134E+04  1.7519E+04 -9.5952E+02
0000247   2.2142E+04  2.0223E+04  7.2351E+02
0000248   1.9358E+04  1.7926E+04 -4.5765E+03
0000249   2.3277E+04  1.6942E+04 -2.7093E+03
0000250   1.9482E+04  1.9588E+04 -3.0494E+03
0000251   2.0181E+04  2.0298E+04 -3.2734E+03
0000252   1.7906E+04  1.8498E+04  3.1356E+02
0000253   1.8747E+04  1.8564E+04  2.1204E+03
0000254   1.8604E+04  2.2020E+04  1.0837E+03
0000255   2.2463E+04  1.7358E+04 -9.7309E+00
0000256   2.0016E+04  2.1136E+04 -8.7742E+02
0000257   2.2370E+04  1.8614E+04 -1.2895E+03
0000258   1.6274E+04  2.0912E+04 -1.3572E+03
0000259   1.8971E+04  1.0540E+04 -1.5724E+03
0000260   2.2300E+04  1.6210E+04 -1.6159E+02
0000261   2.1110E+04  1.6503E+04  2.8482E+03
0000262   1.7035E+04  1.8304E+04 -3.1213E+03
0000263   2.1459E+04  1.8950E+04  3.8289E+02
0000264   1.9683E+04  2.0655E+04  1.1069E+03
0000265   1.8980E+04  1.9305E+04  4.7519E+03
0000266   2.2705E+04  1.7998E+04  3.8971E+03
0000267   2.1709E+04  2.0335E+04  1.8361E+02
0000268   2.1420E+04  2.0528E+04 -2.9310E+03
0000269   1.9297E+04  2.0831E+04 -3.9408E+03
0000270   1.9239E+04  2.1678E+04  5.8652E+02
0000271   1.9355E+04  1.7133E+04 -6.6756E+03
0000272   1.9159E+04  2.0926E+04 -1.0116E+03
0000273   2.0736E+04  2.0597E+04  9.2087E+02
0000274   1.9929E+04  1.9214E+04  1.2465E+03
0000275   2.1168E+04  1.7854E+04  3.3956E+03
0000276   1.7760E+04  2.4044E+04  1.5336E+03
0000277   1.8749E+04  1.9373E+04 -4.6159E+03
0000278   2.0317E+04  1.7402E+04  1.4725E+03
0000279   2.0469E+04  2.0983E+04 -3.4558E+03
0000280   2.1844E+04  1.6987E+04 -1.0826E+03
0000281   1.8311E+04  2.1339E+04  8.1888E+02
0000282   2.2139E+04  1.6103E+04  2.3881E+03
0000283   2.0575E+04  1.5793E+04 -7.0999E+02
0000284   1.8560E+04  2.1677E+04  3.0794E+02
0000285   1.9065E+04  2.0741E+04  2.2064E+03
0000286   2.1135E+04  1.9232E+04  7.4681E+02
0000287   2.1124E+04  1.8153E+04 -2.6656E+03
0000288   1.8985E+04  2.1492E+04  1.9859E+03
0000289   1.9314E+04  2.2001E+04 -1.4825E+02
0000290   2.1561E+04  2.0107E+04  1.4604E+03
0000291   1.6873E+04  2.3244E+04  4.8763E+02
0000292   1.9972E+04  2.1632E+04 -9.4354E+02
0000293   2.0942E+04  2.2442E+04  2.1209E+03
0000294   1.9056E+04  2.0321E+04  5.5690E+03
0000295   2.0914E+04  1.9057E+04 -1.2602E+03
0000296   2.2445E+04  1.7823E+04  2.4454E+03
0000297   1.8800E+04  1.9333E+04 -1.4875E+03
0000298   2.1129E+04  1.9330E+04 -1.7793E+03
0000299   2.0770E+04  2.0295E+04 -3.0729E+03
0000300   2.1111E+04  1.9611E+04  1.2182E+03
0000301   2.1984E+04  1.8453E+04  8.4738E+02
0000302   2.1514E+04  1.9021E+04  3.0061E+02
0000303   2.0092E+04  2.1405E+04  1.2111E+03
0000304   1.7733E+04  1.8830E+04  2.1584E+03
0000305   1.9396E+04  2.0993E+04  2.3749E+03
0000306   1.7237E+04  2.1063E+04  1.1730E+03
0000307   1.7187E+04  2.1108E+04 -4.5178E+02
0000308   1.9067E+04  2.2575E+04 -1.5615E+02
0000309   2.1841E+04  1.7000E+04  3.1564E+03
0000310   2.2716E+04  1.7584E+04  1.1754E+03
0000311   1.2802E+04  1.8082E+04  5.0179E+03
0000312   2.2196E+04  1.9947E+04 -3.6189E+02
0000313   1.8679E+04  1.7508E+04 -3.7247E+03
0000314   2.2066E+04  1.9037E+04 -2.6292E+02
0000315   1.9415E+04  2.0362E+04  1.5564E+03
0000316   1.7882E+04  1.8812E+04 -1.5599E+03
0000317   2.3572E+04  1.9434E+04  2.7799E+03
0000318   2.1623E+04  2.0256E+04  6.1351E+02
0000319   2.1021E+04  2.1284E+04 -1.0586E+02
0000320   2.3814E+04  1.2327E+04 -8.9245E+02
0000321   2.0866E+04  1.9490E+04  4.3316E+02
0000322   2.1910E+04  1.6253E+04 -1.4271E+03
0000323   1.9533E+04  2.0343E+04  1.6861E+03
0000324   1.9475E+04  1.9149E+04  3.0527E+03
0000325   1.7898E+04  1.9824E+04  2.6401E+02
0000326   2.2800E+04  1.7952E+04 -1.2106E+03
0000327   2.0037E+04  2.0875E+04  9.2266E+02
0000328   1.7988E+04  1.6981E+04 -1.7827E+03
0000329   2.0322E+04  2.0395E+04  2.3756E+03
0000330   1.8810E+04  2.1478E+04 -1.2031E+03
0000331   2.2910E+04  1.9307E+04  1.8169E+02
0000332   2.1222E+04  2.1070E+04 -6.5068E+02
0000333   1.6737E+04  2.2177E+04  1.2699E+03
0000334   2.1830E+04  1.8658E+04 -4.2461E+01
0000335   2.1498E+04  1.7666E+04 -2.5287E+03
0000336   1.9972E+04  2.0278E+04 -2.3468E+03
0000337   2.0458E+04  1.6916E+04  1.0437E+03
0000338   2.0388E+04  2.0327E+04 -1.8349E+02
0000339   1.8796E+04  1.8217E+04  2.0628E+03
0000340   1.6717E+04  2.2609E+04  1.5992E+03
0000341   1.7415E+04  2.2643E+04  1.4790E+03
0000342   2.1811E+04  1.8196E+04  8.8125E+02
0000343   2.0735E+04  2.1009E+04  1.0593E+03
0000344   1.9727E+04  1.8793E+04 -8.5849E+02
0000345   2.0818E+04  2.1419E+04  3.0520E+03
0000346   1.8037E+04  1.9396E+04  3.3498E+03
0000347   1.7514E+04  2.0124E+04  2.9023E+03
0000348   2.0963E+04  1.9120E+04  1.9120E+03
0000349   1.8709E+04  1.7502E+04 -4.7131E+02
0000350   2.0814E+04  2.0640E+04  4.0463E+03
0000351   2.2150E+04  2.0442E+04 -2.1367E+02
0000352   2.1394E+04  1.6660E+04  1.5845E+03
0000353   1.9380E+04  2.2028E+04 -5.3734E+02
0000354   2.3387E+04  1.4957E+04  8.0061E+02
0000355   2.4244E+04  1.3785E+04 -9.0017E+02
0000356   1.5683E+04  2.3046E+04  9.2055E+01
0000357   1.8449E+04  1.7188E+04  8.9174E+02
0000358   2.0068E+04  2.2393E+04 -9.0395E+02
0000359   1.7542E+04  2.2898E+04  2.5706E+02
0000360   2.0053E+04  1.9991E+04  3.4127E+03
0000361   2.0560E+04  2.1154E+04 -1.7430E+03
0000362   2.1225E+04  1.9174E+04  2.7261E+03
0000363   1.5304E+04  1.9699E+04  2.5748E+03
0000364   2.0097E+04  1.8504E+04 -3.8196E+02
0000365   2.0866E+04  1.6943E+04 -4.8817E+03
0000366   2.1594E+04  1.9092E+04  4.6444E+02
0000367   1.6805E+04  1.7003E+04  1.9376E+03
0000368   1.9715E+04  2.0825E+04 -4.1401E+03
0000369   2.0444E+04  2.1476E+04  3.2138E+02
0000370   2.1033E+04  2.0609E+04 -1.3333E+03
0000371   2.1072E+04  1.9601E+04  9.6319E+02
0000372   1.6350E+04  2.2873E+04 -1.5219E+03
0000373   1.9795E+04  2.1964E+04 -5.9530E+02
0000374   1.9061E+04  2.1483E+04  2.8272E+03
0000375   1.9180E+04  1.8810E+04  1.9317E+03
0000376   1.9572E+04  2.1087E+04 -1.0427E+03
0000377   1.8675E+04  2.1653E+04  2.9878E+02
0000378   1.9039E+04  1.9280E+04  2.5824E+01
0000379   1.7369E+04  2.2873E+04  6.2026E+02
0000380   2.1264E+04  1.9922E+04 -1.2206E+03
0000381   1.8269E+04  2.0243E+04 -7.7841E+02
0000382   2.0975E+04  1.9298E+04 -1.1507E+03
0000383   2.0615E+04  2.2197E+04  1.2793E+03
0000384   2.0422E+04  2.2043E+04  4.0641E+03
0000385   1.4897E+04  1.4055E+04  3.4324E+03
0000386   1.9002E+04  1.9709E+04  4.9715E+03
0000387   2.2582E+04  1.9878E+04  2.3713E+03
0000388   1.9050E+04  1.9581E+04 -5.0716E+02
0000389   1.8182E+04  2.2188E+04  4.1860E+03
0000390   2.0568E+04  2.2099E+04  1.6824E+03
0000391   1.9008E+04  2.0377E+04 -2.7763E+02
0000392   1.9117E+04  1.6564E+04 -1.1680E+03
0000393   1.8920E+04  2.2904E+04 -3.5993E+02
0000394   2.1153E+04  1.7400E+04  3.5387E+02
0000395   1.7328E+04  2.2003E+04  2.1689E+03
0000396   2.3018E+04  2.0165E+04  1.3643E+03
0000397   2.0529E+04  1.8080E+04  3.0232E+03
0000398   1.9150E+04  2.0695E+04 -6.8709E+02
0000399   2.2050E+04  2.0005E+04 -1.2208E+02
0000400   2.0641E+04  2.0271E+04  1.5359E+03
0000401   1.9999E+04  2.0573E+04  1.2947E+03
0000402   1.9862E+04  2.1423E+04  2.7489E+02
0000403   2.1465E+04  2.2239E+04 -9.1750E+02
0000404   2.1331E+04  2.0137E+04  3.9097E+03
0000405   1.9616E+04  2.1204E+04 -6.0701E+02
0000406   1.7450E+04  1.1724E+04 -1.0665E+03
0000407   2.2198E+04  1.7679E+04  6.2762E+02
0000408   2.2336E+04  2.0756E+04 -9.6925E+02
0000409   2.0091E+04  2.0770E+04 -5.3248E+03
0000410   2.1272E+04  2.2596E+04 -1.6132E+03
0000411   1.5678E+04  1.7919E+04  1.4493E+03
0000412   2.0572E+04  2.0607E+04 -2.0090E+03
0000413   2.0869E+04  2.0247E+04 -1.0766E+03
0000414   1.6565E+04  1.8893E+04 -7.9504E+02
0000415   1.9732E+04  2.0129E+04 -2.0772E+03
0000416   2.1624E+04  2.0666E+04 -2.2448E+01
0000417   1.6821E+04  1.9644E+04 -1.1126E+03
0000418   2.0217E+04  2.1725E+04 -1.0992E+03
0000419   1.4685E+04  2.2209E+04 -8.6312E+02
0000420   2.1839E+04  1.7302E+04 -1.0843E+03
0000421   2.3384E+04  1.8269E+04 -2.0307E+02
0000422   2.0990E+04  2.0786E+04 -6.4845E+01
0000423   1.8049E+04  2.0422E+04 -2.2211E+03
0000424   2.1730E+04  1.8903E+04 -1.1008E+03
0000425   1.8795E+04  2.2133E+04 -2.6159E+03
0000426   1.9674E+04  2.2242E+04 -2.6675E+03
0000427   2.0185E+04  2.0583E+04 -1.0603E+03
0000428   1.5385E+04  1.8501E+04 -8.5256E+03
0000429   2.0620E+04  1.9550E+04  1.5645E+03
0000430   1.9169E+04  1.8958E+04 -9.8083E+02
0000431   1.9454E+04  2.1029E+04 -1.1094E+02
0000432   2.0638E+04  1.9653E+04 -3.8277E+03
0000433   1.9945E+04  1.8465E+04  1.0823E+03
0000434   1.8803E+04  2.3245E+04 -1.9410E+02
0000435   1.8933E+04  1.5557E+04  2.9496E+03
0000436   2.0107E+04  2.2111E+04 -1.5080E+03
0000437   2.0779E+04  2.1436E+04  2.6199E+02
0000438   2.1678E+04  1.8768E+04  2.2325E+03
