Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_300
Operator	Keshav
Date	12/17/2024
Time	17:55
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	5:55:34 PM
	
Time	Amplitude
1.780000E-8	-5.430100E-4
1.790000E-8	-5.121769E-4
1.800000E-8	-4.350941E-4
1.810000E-8	-3.460207E-4
1.820000E-8	-2.775027E-4
1.830000E-8	-2.569473E-4
1.840000E-8	-2.689380E-4
1.850000E-8	-3.100488E-4
1.860000E-8	-3.751409E-4
1.870000E-8	-4.487977E-4
1.880000E-8	-5.704172E-4
1.890000E-8	-8.462021E-4
1.900000E-8	-1.539947E-3
1.910000E-8	-3.016510E-3
1.920000E-8	-5.609916E-3
1.930000E-8	-9.373268E-3
1.940000E-8	-1.402735E-2
1.950000E-8	-1.889042E-2
1.960000E-8	-2.306316E-2
1.970000E-8	-2.582273E-2
1.980000E-8	-2.691045E-2
1.990000E-8	-2.646680E-2
2.000000E-8	-2.489431E-2
2.010000E-8	-2.291585E-2
2.020000E-8	-2.098022E-2
2.030000E-8	-1.945740E-2
2.040000E-8	-1.832857E-2
2.050000E-8	-1.746182E-2
2.060000E-8	-1.665331E-2
2.070000E-8	-1.582766E-2
2.080000E-8	-1.497633E-2
2.090000E-8	-1.409587E-2
2.100000E-8	-1.324967E-2
2.110000E-8	-1.241033E-2
2.120000E-8	-1.155214E-2
2.130000E-8	-1.067682E-2
2.140000E-8	-9.866597E-3
2.150000E-8	-9.261926E-3
2.160000E-8	-8.835401E-3
2.170000E-8	-8.592162E-3
2.180000E-8	-8.446562E-3
2.190000E-8	-8.227304E-3
2.200000E-8	-7.908695E-3
2.210000E-8	-7.454763E-3
2.220000E-8	-6.923749E-3
2.230000E-8	-6.403012E-3
2.240000E-8	-5.954219E-3
2.250000E-8	-5.640749E-3
2.260000E-8	-5.416353E-3
2.270000E-8	-5.238206E-3
2.280000E-8	-5.121725E-3
2.290000E-8	-5.032652E-3
2.300000E-8	-4.969273E-3
2.310000E-8	-4.911033E-3
2.320000E-8	-4.844228E-3
2.330000E-8	-4.719182E-3
2.340000E-8	-4.513628E-3
2.350000E-8	-4.299509E-3
2.360000E-8	-4.054558E-3
2.370000E-8	-3.879837E-3
2.380000E-8	-3.797615E-3
2.390000E-8	-3.768495E-3
2.400000E-8	-3.751365E-3
2.410000E-8	-3.694838E-3
2.420000E-8	-3.619468E-3
2.430000E-8	-3.514978E-3
2.440000E-8	-3.401924E-3
2.450000E-8	-3.314563E-3
2.460000E-8	-3.299147E-3
2.470000E-8	-3.312850E-3
2.480000E-8	-3.360813E-3
2.490000E-8	-3.372803E-3
2.500000E-8	-3.340257E-3
2.510000E-8	-3.242619E-3
2.520000E-8	-3.054195E-3
2.530000E-8	-2.809243E-3
2.540000E-8	-2.577995E-3
2.550000E-8	-2.427255E-3
2.560000E-8	-2.430681E-3
2.570000E-8	-2.523180E-3
2.580000E-8	-2.629383E-3
2.590000E-8	-2.711605E-3
2.600000E-8	-2.670494E-3
2.610000E-8	-2.526606E-3
2.620000E-8	-2.281654E-3
2.630000E-8	-2.040128E-3
2.640000E-8	-1.921935E-3
2.650000E-8	-1.928787E-3
2.660000E-8	-2.094943E-3
2.670000E-8	-2.307349E-3
2.680000E-8	-2.492347E-3
2.690000E-8	-2.555726E-3
2.700000E-8	-2.502625E-3
2.710000E-8	-2.317626E-3
2.720000E-8	-2.077813E-3
2.730000E-8	-1.875685E-3
2.740000E-8	-1.736936E-3
2.750000E-8	-1.688974E-3
2.760000E-8	-1.694112E-3
2.770000E-8	-1.771195E-3
2.780000E-8	-1.838000E-3
2.790000E-8	-1.915083E-3
2.800000E-8	-1.966471E-3
2.810000E-8	-1.947629E-3
2.820000E-8	-1.892815E-3
2.830000E-8	-1.783186E-3
2.840000E-8	-1.700964E-3
2.850000E-8	-1.680409E-3
2.860000E-8	-1.721520E-3
2.870000E-8	-1.838000E-3
2.880000E-8	-1.939064E-3
2.890000E-8	-1.999018E-3
