0.00012328,0.99857,0.99916,0.99932,0.99934,0.99934
0.00014175,0.99892,0.99936,0.99948,0.9995,0.9995
0.00016298,0.99918,0.99952,0.99961,0.99962,0.99962
0.00018738,0.99938,0.99963,0.9997,0.99971,0.99971
0.00021544,0.99953,0.99972,0.99978,0.99978,0.99978
0.00024771,0.99965,0.99979,0.99983,0.99984,0.99984
0.0002848,0.99973,0.99984,0.99987,0.99988,0.99988
0.00032745,0.9998,0.99988,0.9999,0.99991,0.99991
0.00037649,0.99985,0.99991,0.99993,0.99993,0.99993
0.00043288,0.99988,0.99993,0.99994,0.99995,0.99995
0.0004977,0.99991,0.99995,0.99996,0.99996,0.99996
0.00057224,0.99993,0.99996,0.99997,0.99997,0.99997
0.00065793,0.99995,0.99997,0.99998,0.99998,0.99998
0.00075646,0.99996,0.99998,0.99998,0.99998,0.99998
0.00086975,0.99997,0.99998,0.99999,0.99999,0.99999
0.001,0.99998,0.99999,0.99999,0.99999,0.99999
