Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-10-11
Run Name	spot02
Operator	Keshav
Date	10/11/2025
Time	11:17
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	57
dt	50.000001E-12
time stamp (ms)	12:17:57 PM
	
Time	Amplitude
0.000000E+0	-9.147285E-4
5.000000E-11	-8.701918E-4
1.000000E-10	-7.999609E-4
1.500000E-10	-7.074616E-4
2.000000E-10	-6.183882E-4
2.500000E-10	-5.361665E-4
3.000000E-10	-4.522320E-4
3.500000E-10	-3.768622E-4
4.000000E-10	-3.083442E-4
4.500000E-10	-2.483909E-4
5.000000E-10	-2.089931E-4
5.500000E-10	-1.918636E-4
6.000000E-10	-1.781600E-4
6.500000E-10	-1.747341E-4
7.000000E-10	-1.952895E-4
7.500000E-10	-2.312614E-4
8.000000E-10	-2.723722E-4
8.500000E-10	-3.306125E-4
9.000000E-10	-3.974176E-4
9.500000E-10	-4.590838E-4
1.000000E-9	-4.984816E-4
1.050000E-9	-5.241759E-4
1.100000E-9	-5.447313E-4
1.150000E-9	-5.772773E-4
1.200000E-9	-6.166752E-4
1.250000E-9	-6.629249E-4
1.300000E-9	-7.194522E-4
1.350000E-9	-7.605630E-4
1.400000E-9	-7.759796E-4
1.450000E-9	-7.811184E-4
1.500000E-9	-7.879702E-4
1.550000E-9	-7.794055E-4
1.600000E-9	-7.554242E-4
1.650000E-9	-7.108875E-4
1.700000E-9	-6.560731E-4
1.750000E-9	-6.149623E-4
1.800000E-9	-6.029716E-4
1.850000E-9	-6.029716E-4
1.900000E-9	-6.098234E-4
1.950000E-9	-6.372306E-4
2.000000E-9	-6.783414E-4
2.050000E-9	-7.040357E-4
2.100000E-9	-7.194522E-4
2.150000E-9	-7.382947E-4
2.200000E-9	-7.519983E-4
2.250000E-9	-7.451465E-4
2.300000E-9	-7.211652E-4
2.350000E-9	-6.800544E-4
2.400000E-9	-6.166752E-4
2.450000E-9	-5.395924E-4
2.500000E-9	-4.607967E-4
2.550000E-9	-3.974176E-4
2.600000E-9	-3.511679E-4
2.650000E-9	-3.357514E-4
2.700000E-9	-3.597327E-4
2.750000E-9	-4.076953E-4
2.800000E-9	-4.710744E-4
2.850000E-9	-5.413054E-4
2.900000E-9	-6.046846E-4
2.950000E-9	-6.509342E-4
3.000000E-9	-6.629249E-4
3.050000E-9	-6.372306E-4
3.100000E-9	-5.772773E-4
3.150000E-9	-4.967687E-4
3.200000E-9	-4.059823E-4
3.250000E-9	-3.151960E-4
3.300000E-9	-2.346873E-4
3.350000E-9	-1.781600E-4
3.400000E-9	-1.490398E-4
3.450000E-9	-1.610305E-4
3.500000E-9	-2.072801E-4
3.550000E-9	-2.860758E-4
3.600000E-9	-3.854269E-4
3.650000E-9	-4.933428E-4
3.700000E-9	-6.012587E-4
3.750000E-9	-7.108875E-4
3.800000E-9	-8.136645E-4
3.850000E-9	-8.873213E-4
3.900000E-9	-9.352839E-4
3.950000E-9	-9.712559E-4
4.000000E-9	-9.900983E-4
4.050000E-9	-9.763947E-4
4.100000E-9	-9.369969E-4
4.150000E-9	-8.856084E-4
4.200000E-9	-8.222292E-4
4.250000E-9	-7.554242E-4
4.300000E-9	-7.023227E-4
4.350000E-9	-6.646378E-4
4.400000E-9	-6.389436E-4
4.450000E-9	-6.372306E-4
4.500000E-9	-6.543601E-4
4.550000E-9	-6.697767E-4
4.600000E-9	-6.920450E-4
4.650000E-9	-7.314429E-4
4.700000E-9	-7.862573E-4
4.750000E-9	-8.222292E-4
4.800000E-9	-8.410717E-4
4.850000E-9	-8.479235E-4
4.900000E-9	-8.444976E-4
4.950000E-9	-8.239422E-4
5.000000E-9	-7.913961E-4
5.050000E-9	-7.365817E-4
5.100000E-9	-6.766285E-4
5.150000E-9	-6.286659E-4
5.200000E-9	-5.909809E-4
5.250000E-9	-5.395924E-4
5.300000E-9	-5.156111E-4
5.350000E-9	-5.464442E-4
5.400000E-9	-6.081105E-4
5.450000E-9	-6.783414E-4
5.500000E-9	-7.708407E-4
5.550000E-9	-8.633400E-4
5.600000E-9	-9.232933E-4
5.650000E-9	-9.592652E-4
5.700000E-9	-9.763947E-4
5.750000E-9	-9.507005E-4
5.800000E-9	-8.736177E-4
5.850000E-9	-7.554242E-4
5.900000E-9	-6.029716E-4
5.950000E-9	-4.316766E-4
6.000000E-9	-2.620945E-4
6.050000E-9	-9.422543E-5
6.100000E-9	6.165302E-5
6.150000E-9	1.661430E-4
6.200000E-9	2.055408E-4
6.250000E-9	1.884113E-4
6.300000E-9	1.113286E-4
6.350000E-9	-3.255923E-5
6.400000E-9	-2.055672E-4
6.450000E-9	-3.905658E-4
6.500000E-9	-5.841291E-4
6.550000E-9	-7.537112E-4
6.600000E-9	-8.667659E-4
6.650000E-9	-9.095897E-4
6.700000E-9	-8.787566E-4
6.750000E-9	-7.776925E-4
6.800000E-9	-6.338047E-4
6.850000E-9	-4.625097E-4
6.900000E-9	-2.843629E-4
6.950000E-9	-1.421880E-4
7.000000E-9	-5.140168E-5
7.050000E-9	-5.152032E-6
7.100000E-9	-1.029088E-5
7.150000E-9	-6.339233E-5
7.200000E-9	-1.353362E-4
7.250000E-9	-2.209837E-4
7.300000E-9	-3.545938E-4
7.350000E-9	-5.156111E-4
7.400000E-9	-6.560731E-4
7.450000E-9	-7.725537E-4
7.500000E-9	-8.684789E-4
7.550000E-9	-9.164415E-4
7.600000E-9	-9.113026E-4
7.650000E-9	-8.736177E-4
7.700000E-9	-8.016738E-4
7.750000E-9	-6.971839E-4
7.800000E-9	-5.944068E-4
7.850000E-9	-5.241759E-4
7.900000E-9	-4.796392E-4
7.950000E-9	-4.625097E-4
8.000000E-9	-4.882039E-4
8.050000E-9	-5.532960E-4
8.100000E-9	-6.286659E-4
8.150000E-9	-7.006098E-4
8.200000E-9	-7.759796E-4
8.250000E-9	-8.599141E-4
8.300000E-9	-9.301451E-4
8.350000E-9	-9.798206E-4
8.400000E-9	-1.010654E-3
8.450000E-9	-1.017506E-3
8.500000E-9	-1.012367E-3
8.550000E-9	-1.010654E-3
8.600000E-9	-1.000376E-3
8.650000E-9	-9.798206E-4
8.700000E-9	-9.729688E-4
8.750000E-9	-9.832465E-4
8.800000E-9	-1.003802E-3
8.850000E-9	-1.024357E-3
8.900000E-9	-1.041487E-3
8.950000E-9	-1.044913E-3
9.000000E-9	-1.027783E-3
9.050000E-9	-1.000376E-3
9.100000E-9	-9.592652E-4
9.150000E-9	-8.975990E-4
9.200000E-9	-8.222292E-4
9.250000E-9	-7.434335E-4
9.300000E-9	-6.612119E-4
9.350000E-9	-5.635737E-4
9.400000E-9	-4.642226E-4
9.450000E-9	-3.768622E-4
9.500000E-9	-2.980665E-4
9.550000E-9	-2.244096E-4
9.600000E-9	-1.678823E-4
9.650000E-9	-1.250585E-4
9.700000E-9	-1.010772E-4
9.750000E-9	-1.045031E-4
9.800000E-9	-1.439010E-4
9.850000E-9	-2.004283E-4
9.900000E-9	-2.655204E-4
9.950000E-9	-3.391773E-4
1.000000E-8	-4.111212E-4
1.005000E-8	-4.659356E-4
1.010000E-8	-5.087593E-4
1.015000E-8	-5.395924E-4
1.020000E-8	-5.447313E-4
1.025000E-8	-5.087593E-4
1.030000E-8	-4.368154E-4
1.035000E-8	-3.545938E-4
1.040000E-8	-2.740852E-4
1.045000E-8	-2.038542E-4
1.050000E-8	-1.558916E-4
1.055000E-8	-1.507528E-4
1.060000E-8	-2.021413E-4
1.065000E-8	-2.946406E-4
