LScanVer, 2101
Time, 16:48
ImageRes, 1024x800
FieldSize (nm), 2562.500x2000.000
Elements, 5
Points, 4625
HV, 200
Mag, 40000
Dwell, 0.1
Detector, Det 1
DetectorType, DET_OCTANE_T_ULTRA_W
Data Type, Roi
Amp Time, 7.68
NumOfFrames, 2048
Point, Distance (nm), C  K, O  K, Si K, W  L, Pt L, Image, Frame
1, 0.0, 6.000, 3.000, 9.000, 6.000, 77.000, 31678, 1, , 
2, 0.2, 9.000, 5.000, 5.000, 5.000, 72.000, 29839, 1, , 
3, 0.4, 8.000, 2.000, 7.000, 4.000, 76.000, 35275, 1, , 
4, 0.6, 9.000, 0.000, 12.000, 8.000, 84.000, 32790, 1, , 
5, 0.8, 8.000, 4.000, 6.000, 3.000, 83.000, 30046, 1, , 
6, 1.0, 11.000, 2.000, 10.000, 7.000, 85.000, 29494, 1, , 
7, 1.2, 11.000, 6.000, 9.000, 3.000, 88.000, 30008, 1, , 
8, 1.4, 11.000, 5.000, 11.000, 3.000, 97.000, 28665, 1, , 
9, 1.6, 8.000, 3.000, 7.000, 4.000, 81.000, 32262, 1, , 
10, 1.8, 9.000, 4.000, 8.000, 2.000, 82.000, 32679, 1, , 
11, 2.0, 8.000, 4.000, 9.000, 2.000, 95.000, 31335, 1, , 
12, 2.2, 6.000, 3.000, 14.000, 5.000, 82.000, 29053, 1, , 
13, 2.4, 13.000, 4.000, 7.000, 2.000, 93.000, 35516, 1, , 
14, 2.6, 10.000, 6.000, 8.000, 3.000, 75.000, 31587, 1, , 
15, 2.8, 7.000, 5.000, 14.000, 6.000, 100.000, 30703, 1, , 
16, 3.0, 11.000, 2.000, 14.000, 9.000, 85.000, 32079, 1, , 
17, 3.2, 13.000, 3.000, 9.000, 3.000, 95.000, 33887, 1, , 
18, 3.4, 10.000, 2.000, 5.000, 8.000, 89.000, 32125, 1, , 
19, 3.6, 5.000, 1.000, 6.000, 4.000, 87.000, 31273, 1, , 
20, 3.8, 13.000, 1.000, 7.000, 3.000, 80.000, 29878, 1, , 
21, 4.0, 7.000, 4.000, 13.000, 11.000, 93.000, 32592, 1, , 
22, 4.2, 12.000, 9.000, 4.000, 3.000, 74.000, 31632, 1, , 
23, 4.4, 8.000, 7.000, 10.000, 4.000, 97.000, 30902, 1, , 
24, 4.6, 8.000, 3.000, 7.000, 6.000, 107.000, 31146, 1, , 
25, 4.8, 7.000, 4.000, 14.000, 1.000, 77.000, 29108, 1, , 
26, 5.0, 6.000, 3.000, 7.000, 4.000, 87.000, 31272, 1, , 
27, 5.2, 5.000, 8.000, 10.000, 2.000, 86.000, 30231, 1, , 
