Distance_(nm)	Gray_Value
0.000	6919.452
0.371	6891.799
0.742	6864.300
1.112	6953.308
1.483	7055.032
1.854	6994.310
2.225	7087.443
2.595	7121.399
2.966	7082.712
3.337	7067.982
3.708	7018.204
4.078	7026.644
4.449	7008.038
4.820	6895.050
5.191	6810.869
5.561	6817.548
5.932	6813.749
6.303	6790.096
6.674	6824.503
7.045	6883.462
7.415	6950.298
7.786	6961.695
8.157	6996.075
8.528	7041.955
8.898	7048.018
9.269	7021.678
9.640	6978.810
10.011	6940.432
10.381	7018.385
10.752	7053.137
11.123	6974.229
11.494	6992.380
11.864	7066.700
12.235	6939.243
12.606	6943.164
12.977	6912.783
13.348	6778.650
13.718	6667.074
14.089	6593.045
14.460	6617.108
14.831	6610.861
15.201	6663.770
15.572	6745.676
15.943	6814.429
16.314	6839.726
16.684	6841.317
17.055	6832.097
17.426	6866.841
17.797	6904.589
18.168	6775.668
18.538	6771.655
18.909	6715.617
19.280	6730.946
19.651	6700.485
20.021	6754.088
20.392	6774.082
20.763	6830.331
21.134	6862.949
21.504	6745.205
21.875	6772.375
22.246	6736.975
22.617	6680.811
22.987	6656.045
23.358	6695.462
23.729	6638.667
24.100	6719.693
24.471	6661.332
24.841	6600.237
25.212	6626.380
25.583	6473.951
25.954	6514.533
26.324	6508.383
26.695	6525.289
27.066	6529.516
27.437	6436.529
27.807	6471.913
28.178	6347.009
28.549	6138.553
28.920	5968.656
29.290	5931.930
29.661	5952.182
30.032	6029.585
30.403	6174.458
30.774	6204.695
31.144	6156.685
31.515	6260.017
31.886	6199.187
32.257	6130.941
32.627	6034.315
32.998	5913.188
33.369	6013.125
33.740	6019.516
34.110	6044.988
34.481	6109.293
34.852	6372.562
35.223	6465.085
35.593	6485.224
35.964	6415.313
36.335	6375.796
36.706	6432.288
37.077	6425.493
37.447	6342.215
37.818	6366.118
38.189	6372.040
38.560	6329.251
38.930	6340.653
39.301	6216.911
39.672	6340.595
40.043	6495.384
40.413	6552.256
40.784	6621.736
41.155	6621.815
41.526	6605.284
41.897	6730.807
42.267	6806.212
42.638	6878.361
43.009	6900.958
43.380	6943.389
43.750	6730.576
44.121	6651.108
44.492	6635.406
44.863	6555.781
45.233	6484.499
45.604	6431.641
45.975	6428.100
46.346	6405.955
46.716	6365.715
47.087	6369.706
47.458	6432.219
47.829	6470.002
48.200	6493.958
48.570	6381.273
48.941	6228.750
49.312	5953.284
49.683	5519.491
50.053	5151.434
50.424	4843.213
50.795	4594.701
51.166	4533.073
51.536	4480.942
51.907	4369.346
52.278	4264.605
52.649	4165.734
53.019	4121.604
53.390	4091.479
53.761	4063.362
54.132	4035.026
54.503	4000.431
54.873	3898.135
55.244	3836.235
55.615	3760.266
55.986	3667.955
56.356	3604.809
56.727	3566.291
57.098	3524.676
57.469	3505.209
57.839	3525.806
58.210	3544.670
58.581	3542.376
58.952	3532.945
59.322	3447.364
59.693	3470.083
60.064	3513.174
60.435	3571.564
60.806	3524.606
61.176	3542.720
