Distance_(nm)	Gray_Value
0.0000	6532.365
0.3708	6547.722
0.7415	6496.933
1.1123	6450.250
1.4831	6443.502
1.8538	6466.465
2.2246	6521.944
2.5954	6512.097
2.9661	6392.643
3.3369	6386.745
3.7077	6375.113
4.0784	6369.614
4.4492	6406.266
4.8200	6369.457
5.1907	6285.521
5.5615	6223.480
5.9322	6085.043
6.3030	6011.909
6.6738	6054.128
7.0445	6080.116
7.4153	6023.813
7.7861	6020.476
8.1568	5976.082
8.5276	5969.096
8.8984	6043.286
9.2691	6028.144
9.6399	6059.921
10.0107	6078.279
10.3814	6075.290
10.7522	6209.464
11.1230	6327.244
11.4937	6413.713
11.8645	6395.352
12.2353	6418.768
12.6060	6381.893
12.9768	6326.921
13.3476	6138.400
13.7183	6105.674
14.0891	6110.010
14.4599	6171.874
14.8306	6207.709
15.2014	6226.042
15.5722	6310.828
15.9429	6296.215
16.3137	6244.120
16.6845	6157.979
17.0552	6210.177
17.4260	6234.839
17.7967	6151.333
18.1675	6097.649
18.5383	6027.140
18.9090	6012.250
19.2798	5980.924
19.6506	6015.332
20.0213	6103.676
20.3921	6131.785
20.7629	6132.571
21.1336	6158.320
21.5044	6032.583
21.8752	6040.908
22.2459	5924.989
22.6167	5849.724
22.9875	5804.350
23.3582	5791.004
23.7290	5794.861
24.0998	5861.153
24.4705	5686.857
24.8413	5597.404
25.2121	5552.453
25.5828	5474.603
25.9536	5472.837
26.3244	5314.202
26.6951	5216.941
27.0659	5209.987
27.4367	5084.144
27.8074	4908.143
28.1782	4841.684
28.5490	4739.700
28.9197	4590.934
29.2905	4471.736
29.6612	4340.762
30.0320	4175.018
30.4028	4072.082
30.7735	4070.443
31.1443	4067.823
31.5151	4082.555
31.8858	4022.594
32.2566	4039.070
32.6274	4020.376
32.9981	4035.133
33.3689	3937.059
33.7397	3915.013
34.1104	3914.944
34.4812	3854.488
34.8520	3789.696
35.2227	3777.313
35.5935	3737.744
35.9643	3793.828
36.3350	3739.159
36.7058	3650.196
37.0766	3661.747
37.4473	3689.340
37.8181	3719.727
38.1889	3697.276
38.5596	3725.722
38.9304	3723.622
39.3012	3666.344
39.6719	3748.520
40.0427	3776.995
40.4134	3772.859
40.7842	3825.423
41.1550	3905.869
41.5257	3893.491
41.8965	3941.552
42.2673	3985.846
42.6380	4029.016
43.0088	4080.021
43.3796	4113.138
43.7503	4082.747
44.1211	4195.479
44.4919	4212.885
44.8626	4276.509
45.2334	4350.838
45.6042	4354.012
45.9749	4444.727
46.3457	4496.043
46.7165	4593.950
47.0872	4744.307
47.4580	4884.428
47.8288	4960.490
48.1995	5002.807
48.5703	5052.423
48.9411	5061.851
49.3118	5093.434
49.6826	5118.769
50.0534	5184.375
50.4241	5112.385
50.7949	5115.887
51.1657	5132.272
51.5364	5252.985
51.9072	5273.542
52.2780	5203.664
52.6487	5302.789
53.0195	5242.834
53.3902	5244.404
53.7610	5212.531
54.1318	5203.616
54.5025	5240.882
54.8733	5270.393
55.2441	5295.680
55.6148	5295.878
55.9856	5333.651
56.3564	5292.500
56.7271	5288.881
57.0979	5242.533
57.4687	5303.243
57.8394	5468.093
58.2102	5463.806
58.5810	5357.074
58.9517	5254.603
59.3225	5306.275
59.6933	5306.767
60.0640	5385.110
60.4348	5408.971
60.8056	5326.699
61.1763	5355.552
61.5471	5419.550
61.9179	5474.784
62.2886	5603.605
62.6594	5590.954
63.0302	5532.879
63.4009	5523.914
63.7717	5452.453
64.1424	5379.664
64.5132	5394.415
64.8840	5343.393
65.2547	5297.604
65.6255	5388.279
65.9963	5452.398
66.3670	5430.746
66.7378	5428.454
67.1086	5436.702
67.4793	5446.134
67.8501	5400.939
68.2209	5411.511
68.5916	5461.250
68.9624	5508.872
69.3332	5545.602
69.7039	5513.404
70.0747	5399.278
70.4455	5395.525
70.8162	5342.575
