Distance_(nm)	Gray_Value
0.000	6784.264
0.371	6819.756
0.742	6764.102
1.112	6757.708
1.483	6647.096
1.854	6456.242
2.225	6370.822
2.595	6293.938
2.966	6272.677
3.337	6216.082
3.708	6182.618
4.078	6161.848
4.449	6125.263
4.820	6130.207
5.191	6246.853
5.561	6355.627
5.932	6436.412
6.303	6531.319
6.674	6708.711
7.045	6840.400
7.415	6983.699
7.786	7161.536
8.157	7222.560
8.528	7276.658
8.898	7224.826
9.269	7335.066
9.640	7311.750
10.011	7362.170
10.381	7372.019
10.752	7249.561
11.123	7132.501
11.494	6913.844
11.864	6886.738
12.235	6806.084
12.606	6776.626
12.977	6751.961
13.348	6641.881
13.718	6637.833
14.089	6573.719
14.460	6586.576
14.831	6581.207
15.201	6650.228
15.572	6687.336
15.943	6656.912
16.314	6660.226
16.684	6560.764
17.055	6549.217
17.426	6581.799
17.797	6487.908
18.168	6394.976
18.538	6272.514
18.909	6371.143
19.280	6389.965
19.651	6456.847
20.021	6492.630
20.392	6488.343
20.763	6541.976
21.134	6472.892
21.504	6423.916
21.875	6369.381
22.246	6230.209
22.617	6435.606
22.987	6494.038
23.358	6660.202
23.729	6828.022
24.100	6926.486
24.471	6823.864
24.841	6747.517
25.212	6621.624
25.583	6483.330
25.954	6320.861
26.324	6285.896
26.695	6260.328
27.066	6316.661
27.437	6391.259
27.807	6548.203
28.178	6592.074
28.549	6726.777
28.920	6826.430
29.290	7024.171
29.661	7051.975
30.032	7019.521
30.403	6962.209
30.774	6860.440
31.144	6744.171
31.515	6627.539
31.886	6723.192
32.257	6646.519
32.627	6628.712
32.998	6579.661
33.369	6496.256
33.740	6478.247
34.110	6570.681
34.481	6722.991
34.852	6854.036
35.223	6985.950
35.593	7105.980
35.964	7186.886
36.335	7265.080
36.706	7316.168
37.077	7208.727
37.447	6941.158
37.818	6575.771
38.189	6330.237
38.560	6168.103
38.930	6113.122
39.301	6098.756
39.672	6285.971
40.043	6455.775
40.413	6585.192
40.784	6657.865
41.155	6751.096
41.526	6620.435
41.897	6487.289
42.267	6267.337
42.638	5983.870
43.009	6003.079
43.380	5980.618
43.750	5941.982
44.121	6008.277
44.492	6131.250
44.863	6306.221
45.233	6327.824
45.604	6271.393
45.975	6258.099
46.346	6199.093
46.716	6107.267
47.087	6049.389
47.458	5911.918
47.829	5731.245
48.200	5573.810
48.570	5255.118
48.941	5020.006
49.312	4826.779
49.683	4666.598
50.053	4517.031
50.424	4442.033
50.795	4409.936
51.166	4307.657
51.536	4200.675
51.907	4128.758
52.278	3986.545
52.649	3906.280
53.019	3788.318
53.390	3704.906
53.761	3626.938
54.132	3637.031
54.503	3631.132
54.873	3603.654
55.244	3577.872
55.615	3609.847
55.986	3468.906
56.356	3487.483
56.727	3561.523
57.098	3539.734
57.469	3565.163
57.839	3543.766
58.210	3519.928
58.581	3525.692
58.952	3523.437
59.322	3468.923
59.693	3516.866
60.064	3550.513
60.435	3567.877
60.806	3600.585
61.176	3705.831
61.547	3668.699
61.918	3658.041
62.289	3706.190
62.659	3753.415
63.030	3766.222
63.401	3809.209
63.772	3841.929
64.142	3880.248
64.513	3904.973
64.884	3863.573
65.255	3999.755
65.626	4077.176
65.996	4179.222
66.367	4189.028
66.738	4137.135
67.109	4209.020
67.479	4292.857
67.850	4347.382
68.221	4397.785
68.592	4512.800
68.962	4605.393
69.333	4671.175
69.704	4774.597
70.075	4891.572
70.445	4910.428
70.816	4976.980
71.187	5030.433
71.558	5137.864
71.929	5199.134
72.299	5222.488
72.670	5180.838
73.041	5142.879
73.412	5159.541
73.782	5148.499
74.153	5270.819
74.524	5345.597
74.895	5489.786
75.265	5553.012
75.636	5579.862
76.007	5654.890
76.378	5547.656
76.748	5540.636
77.119	5478.690
77.490	5422.606
77.861	5336.189
78.232	5313.936
78.602	5338.927
78.973	5393.472
79.344	5423.084
79.715	5438.886
80.085	5367.326
80.456	5297.045
80.827	5361.920
81.198	5379.965
81.568	5350.912
81.939	5424.937
82.310	5483.439
82.681	5520.886
83.051	5520.949
83.422	5467.446
83.793	5440.131
84.164	5457.218
84.535	5553.584
84.905	5666.123
85.276	5790.582
85.647	5574.222
86.018	5544.217
86.388	5561.928
86.759	5658.397
87.130	5692.815
87.501	5672.843
87.871	5659.339
88.242	5756.330
88.613	5738.385
88.984	5795.772
89.355	5720.644
89.725	5763.429
90.096	5724.275
90.467	5670.219
90.838	5568.809
91.208	5516.073
91.579	5455.242
91.950	5438.228
92.321	5444.285
92.691	5523.300
93.062	5525.642
93.433	5596.992
93.804	5546.693
94.174	5582.918
94.545	5520.362
94.916	5597.479
95.287	5681.592
95.658	5626.731
96.028	5540.234
96.399	5544.026
96.770	5453.506
97.141	5433.117
97.511	5517.114
97.882	5523.949
98.253	5578.796
98.624	5610.198
98.994	5623.037
99.365	5592.479
99.736	5609.311
100.107	5545.709
100.477	5434.692
100.848	5417.428
101.219	5451.241
101.590	5511.408
101.961	5579.037
102.331	5675.183
102.702	5670.685
103.073	5538.072
103.444	5458.517
103.814	5418.998
104.185	5485.838
104.556	5523.686
104.927	5641.496
105.297	5689.030
105.668	5680.438
106.039	5658.546
106.410	5624.335
106.780	5577.667
107.151	5535.786
107.522	5504.605
107.893	5536.852
108.264	5611.986
108.634	5651.689
109.005	5658.954
109.376	5512.971
109.747	5596.068
110.117	5546.170
110.488	5524.014
110.859	5565.002
111.230	5612.545
111.600	5637.547
111.971	5635.047
112.342	5551.459
112.713	5506.548
113.084	5486.754
113.454	5545.874
113.825	5620.290
114.196	5611.496
