Distance_(nm)	Gray_Value
0.000	6680.603
0.371	6661.144
0.742	6626.886
1.112	6650.838
1.483	6738.082
1.854	6709.432
2.225	6623.548
2.595	6615.291
2.966	6664.317
3.337	6719.169
3.708	6808.014
4.078	6666.643
4.449	6595.374
4.820	6498.347
5.191	6473.778
5.561	6481.805
5.932	6542.223
6.303	6724.156
6.674	6647.630
7.045	6688.260
7.415	6754.268
7.786	6871.511
8.157	6790.521
8.528	6713.832
8.898	6645.592
9.269	6767.535
9.640	6816.820
10.011	6799.606
10.381	6909.870
10.752	6920.738
11.123	6901.792
11.494	6790.130
11.864	6918.157
12.235	6700.542
12.606	6570.425
12.977	6472.611
13.348	6387.330
13.718	6381.142
14.089	6384.411
14.460	6329.452
14.831	6466.297
15.201	6544.216
15.572	6535.984
15.943	6601.675
16.314	6638.776
16.684	6657.804
17.055	6593.511
17.426	6573.367
17.797	6633.587
18.168	6695.567
18.538	6694.945
18.909	6724.778
19.280	6712.455
19.651	6704.863
20.021	6746.810
20.392	6857.689
20.763	6970.709
21.134	6967.674
21.504	6987.755
21.875	6928.742
22.246	6844.296
22.617	6853.902
22.987	6935.963
23.358	6807.137
23.729	6774.748
24.100	6734.115
24.471	6797.787
24.841	6873.567
25.212	7084.443
25.583	7162.999
25.954	7186.441
26.324	7195.477
26.695	7073.249
27.066	6854.242
27.437	6834.927
27.807	6728.868
28.178	6747.998
28.549	6719.843
28.920	6655.659
29.290	6716.607
29.661	6773.093
30.032	6786.613
30.403	6580.531
30.774	6313.967
31.144	6048.722
31.515	5862.654
31.886	5869.927
32.257	5960.024
32.627	5957.282
32.998	5950.913
33.369	5958.489
33.740	6056.364
34.110	6116.110
34.481	6336.022
34.852	6467.208
35.223	6403.938
35.593	6299.191
35.964	6345.924
36.335	6376.876
36.706	6382.160
37.077	6424.229
37.447	6426.286
37.818	6357.863
38.189	6218.775
38.560	6239.626
38.930	6180.092
39.301	6294.150
39.672	6375.494
40.043	6518.893
40.413	6585.273
40.784	6596.099
41.155	6785.795
41.526	6632.856
41.897	6615.591
42.267	6579.958
42.638	6620.247
43.009	6770.594
43.380	6940.150
43.750	6927.943
44.121	6897.595
44.492	6820.630
44.863	6540.071
45.233	6458.821
45.604	6308.658
45.975	6250.013
46.346	6175.226
46.716	6192.012
47.087	6177.484
47.458	6034.769
47.829	5843.188
48.200	5870.495
48.570	5828.797
48.941	5974.281
49.312	5981.635
49.683	6019.634
50.053	6131.510
50.424	6024.031
50.795	5689.262
51.166	5246.525
51.536	4916.557
51.907	4765.740
52.278	4607.742
52.649	4560.506
53.019	4469.613
53.390	4245.628
53.761	4084.167
54.132	3965.382
54.503	3857.617
54.873	3782.484
55.244	3765.920
55.615	3721.100
55.986	3722.209
56.356	3622.904
56.727	3593.888
57.098	3607.562
57.469	3666.737
57.839	3683.101
58.210	3642.286
58.581	3638.479
58.952	3644.725
59.322	3569.671
59.693	3561.502
60.064	3576.259
60.435	3606.021
60.806	3580.064
61.176	3621.639
61.547	3674.382
61.918	3706.261
62.289	3732.464
62.659	3740.687
63.030	3727.728
63.401	3732.947
63.772	3799.912
64.142	3838.773
64.513	3863.217
64.884	3912.233
65.255	3920.658
65.626	3976.291
65.996	4081.242
66.367	4086.666
66.738	4090.015
67.109	4222.006
67.479	4317.926
67.850	4311.936
68.221	4364.287
68.592	4477.197
68.962	4465.066
69.333	4505.886
69.704	4591.846
70.075	4642.522
70.445	4767.590
70.816	4671.656
71.187	4783.049
71.558	4846.946
71.929	4884.500
72.299	4948.012
72.670	4994.422
73.041	5185.579
73.412	5251.306
73.782	5254.388
74.153	5226.347
74.524	5295.603
74.895	5365.478
75.265	5357.276
75.636	5294.904
76.007	5361.828
76.378	5338.734
76.748	5356.745
77.119	5287.742
77.490	5262.447
77.861	5312.593
78.232	5386.293
78.602	5479.177
78.973	5477.855
79.344	5455.297
79.715	5411.768
80.085	5409.766
80.456	5415.159
80.827	5415.961
81.198	5413.326
81.568	5461.418
81.939	5501.138
82.310	5573.011
82.681	5558.437
83.051	5621.631
83.422	5544.312
83.793	5457.669
84.164	5446.550
84.535	5456.524
84.905	5500.172
85.276	5522.956
85.647	5513.696
86.018	5522.241
86.388	5420.603
86.759	5384.783
87.130	5439.692
87.501	5513.785
87.871	5647.624
88.242	5639.692
88.613	5654.077
88.984	5748.413
89.355	5798.070
89.725	5848.851
90.096	5757.131
90.467	5709.750
90.838	5744.834
91.208	5684.847
91.579	5650.285
91.950	5590.787
92.321	5539.985
92.691	5515.641
93.062	5455.653
93.433	5445.551
93.804	5410.709
94.174	5486.927
94.545	5578.693
94.916	5613.407
95.287	5521.590
95.658	5476.540
96.028	5384.167
96.399	5373.234
96.770	5444.963
97.141	5501.208
97.511	5600.619
97.882	5609.757
98.253	5645.288
98.624	5651.930
98.994	5658.702
99.365	5640.691
99.736	5556.951
100.107	5564.963
100.477	5638.956
100.848	5644.388
101.219	5574.456
101.590	5608.827
101.961	5472.927
102.331	5554.985
102.702	5603.576
103.073	5602.000
103.444	5686.606
103.814	5621.745
104.185	5549.197
104.556	5563.314
104.927	5555.704
105.297	5535.297
105.668	5570.354
106.039	5536.253
106.410	5544.381
106.780	5547.290
107.151	5522.593
107.522	5609.961
107.893	5609.283
108.264	5631.007
108.634	5498.908
109.005	5512.274
109.376	5590.800
109.747	5551.613
110.117	5518.123
110.488	5507.118
110.859	5470.374
111.230	5444.431
111.600	5545.168
111.971	5587.943
112.342	5627.872
112.713	5766.669
113.084	5646.533
113.454	5667.578
113.825	5529.925
114.196	5519.133
114.567	5606.527
114.937	5647.172
115.308	5620.327
115.679	5584.382
116.050	5635.072
116.420	5692.515
116.791	5825.542
117.162	5767.144
117.533	5766.490
117.903	5652.819
118.274	5613.888
118.645	5645.052
119.016	5455.945
119.387	5465.274
119.757	5334.357
120.128	5303.242
120.499	5250.458
120.870	5256.188
