Distance_(nm)	Gray_Value
0.000	6901.435
0.371	6926.819
0.742	6949.396
1.112	6987.673
1.483	6993.441
1.854	6900.600
2.225	6945.213
2.595	6912.995
2.966	6888.596
3.337	6847.195
3.708	6909.192
4.078	6853.004
4.449	6875.892
4.820	6901.090
5.191	6945.796
5.561	6889.368
5.932	6908.462
6.303	6883.293
6.674	6861.785
7.045	6908.366
7.415	6828.083
7.786	6755.006
8.157	6789.873
8.528	6891.197
8.898	6801.589
9.269	6848.238
9.640	6869.954
10.011	6906.371
10.381	6854.068
10.752	6897.219
11.123	6773.917
11.494	6819.305
11.864	6799.647
12.235	6608.540
12.606	6695.243
12.977	6574.230
13.348	6568.639
13.718	6581.878
14.089	6630.497
14.460	6537.369
14.831	6569.940
15.201	6567.220
15.572	6533.073
15.943	6505.462
16.314	6550.143
16.684	6599.232
17.055	6674.137
17.426	6749.578
17.797	6988.806
18.168	6972.296
18.538	7081.128
18.909	7244.112
19.280	7179.453
19.651	7125.447
20.021	7121.285
20.392	6984.797
20.763	7023.477
21.134	6995.669
21.504	6957.137
21.875	6906.206
22.246	6941.196
22.617	6834.472
22.987	6691.060
23.358	6746.519
23.729	6782.596
24.100	6800.586
24.471	6769.906
24.841	6608.116
25.212	6495.409
25.583	6417.562
25.954	6357.812
26.324	6250.729
26.695	6211.386
27.066	6164.401
27.437	6117.535
27.807	6069.800
28.178	6034.229
28.549	6114.015
28.920	6085.875
29.290	6190.277
29.661	6248.927
30.032	6240.682
30.403	6190.390
30.774	6324.946
31.144	6399.084
31.515	6484.613
31.886	6570.101
32.257	6520.121
32.627	6536.917
32.998	6383.301
33.369	6323.134
33.740	6271.315
34.110	6253.098
34.481	6213.515
34.852	6211.942
35.223	6189.103
35.593	6125.893
35.964	6058.607
36.335	6183.263
36.706	6325.348
37.077	6432.919
37.447	6326.046
37.818	6289.978
38.189	6119.112
38.560	6063.340
38.930	6033.024
39.301	5868.297
39.672	5992.177
40.043	6004.264
40.413	5912.965
40.784	5819.515
41.155	5752.248
41.526	5690.830
41.897	5722.163
42.267	5718.200
42.638	5701.676
43.009	5866.233
43.380	5912.773
43.750	5896.212
44.121	5767.678
44.492	5616.451
44.863	5338.805
45.233	4995.203
45.604	4681.495
45.975	4425.026
46.346	4265.933
46.716	4251.062
47.087	4155.495
47.458	4160.228
47.829	4080.669
48.200	4013.301
48.570	3993.783
48.941	3922.081
49.312	3907.510
49.683	3873.764
50.053	3868.672
50.424	3783.385
50.795	3793.973
51.166	3743.764
51.536	3670.377
51.907	3726.555
52.278	3642.812
52.649	3620.152
53.019	3629.417
53.390	3725.215
53.761	3687.641
54.132	3675.886
54.503	3769.153
54.873	3784.638
55.244	3807.648
55.615	3766.005
55.986	3799.021
56.356	3838.160
56.727	3888.595
57.098	3914.298
57.469	3899.183
57.839	3953.806
58.210	4042.027
58.581	4087.191
58.952	4196.938
59.322	4236.502
59.693	4290.484
60.064	4344.709
60.435	4399.827
60.806	4421.551
61.176	4463.830
61.547	4531.163
61.918	4526.303
62.289	4616.431
62.659	4706.125
63.030	4674.855
63.401	4708.705
63.772	4741.780
64.142	4871.468
64.513	4885.394
64.884	4947.349
65.255	5022.622
65.626	5115.378
65.996	5215.917
66.367	5339.515
66.738	5365.580
67.109	5337.433
67.479	5296.105
67.850	5259.859
68.221	5406.321
68.592	5500.560
68.962	5446.438
69.333	5311.184
69.704	5345.883
70.075	5348.689
70.445	5459.313
70.816	5475.715
71.187	5555.272
71.558	5630.047
71.929	5537.956
72.299	5428.074
72.670	5460.297
73.041	5480.726
73.412	5403.747
73.782	5512.354
74.153	5481.807
74.524	5430.750
74.895	5391.879
75.265	5428.507
75.636	5441.135
76.007	5470.975
76.378	5487.612
76.748	5456.850
77.119	5455.386
77.490	5369.623
77.861	5338.883
78.232	5384.023
78.602	5412.523
78.973	5320.977
79.344	5401.524
79.715	5435.188
80.085	5459.144
80.456	5487.362
80.827	5606.476
81.198	5641.105
81.568	5636.008
81.939	5621.067
82.310	5631.909
82.681	5561.277
83.051	5597.171
83.422	5558.368
83.793	5608.146
84.164	5567.841
84.535	5520.986
84.905	5464.850
85.276	5467.652
85.647	5472.551
86.018	5484.929
86.388	5500.306
86.759	5489.905
87.130	5434.565
87.501	5465.333
87.871	5410.777
88.242	5504.716
88.613	5604.145
88.984	5629.682
89.355	5597.910
89.725	5648.267
90.096	5703.458
90.467	5618.786
90.838	5585.989
91.208	5678.047
91.579	5633.963
91.950	5614.581
92.321	5512.200
92.691	5412.061
93.062	5379.689
93.433	5408.053
93.804	5475.123
94.174	5613.488
94.545	5627.107
94.916	5651.262
95.287	5552.951
95.658	5551.652
96.028	5503.344
96.399	5535.474
96.770	5487.188
97.141	5610.044
97.511	5559.602
97.882	5608.454
98.253	5556.061
98.624	5591.436
98.994	5515.383
99.365	5456.252
99.736	5455.238
100.107	5537.378
100.477	5529.611
100.848	5503.027
101.219	5447.183
101.590	5437.241
101.961	5488.638
102.331	5520.656
102.702	5559.256
103.073	5565.224
103.444	5564.062
103.814	5442.571
