Distance_(nm)	Gray_Value
0.0000	6668.524
0.3708	6722.178
0.7415	6647.898
1.1123	6577.575
1.4831	6495.482
1.8538	6382.884
2.2246	6259.231
2.5954	6163.513
2.9661	6069.434
3.3369	6035.846
3.7077	5956.865
4.0784	5984.755
4.4492	6023.574
4.8200	6051.605
5.1907	6137.636
5.5615	6230.271
5.9322	6307.556
6.3030	6379.677
6.6738	6446.916
7.0445	6517.935
7.4153	6495.440
7.7861	6417.440
8.1568	6465.621
8.5276	6456.278
8.8984	6477.917
9.2691	6608.246
9.6399	6659.500
10.0107	6608.725
10.3814	6648.687
10.7522	6657.638
11.1230	6594.686
11.4937	6564.167
11.8645	6514.388
12.2353	6599.913
12.6060	6540.351
12.9768	6573.207
13.3476	6500.160
13.7183	6438.927
14.0891	6396.502
14.4599	6258.325
14.8306	6135.159
15.2014	6106.398
15.5722	6117.317
15.9429	6176.256
16.3137	6283.075
16.6845	6289.388
17.0552	6265.526
17.4260	6246.777
17.7967	6252.178
18.1675	6364.748
18.5383	6430.636
18.9090	6358.434
19.2798	6358.158
19.6506	6296.793
20.0213	6286.430
20.3921	6206.988
20.7629	6121.605
21.1336	6131.613
21.5044	6084.264
21.8752	6019.526
22.2459	5947.933
22.6167	5959.946
22.9875	5842.176
23.3582	5774.515
23.7290	5804.952
24.0998	5755.425
24.4705	5789.428
24.8413	5815.777
25.2121	5888.575
25.5828	5917.329
25.9536	5921.692
26.3244	5983.481
26.6951	5957.161
27.0659	5971.492
27.4367	5969.345
27.8074	5988.230
28.1782	5904.784
28.5490	5861.519
28.9197	5768.848
29.2905	5601.125
29.6612	5285.975
30.0320	5089.766
30.4028	4868.706
30.7735	4648.551
31.1443	4532.730
31.5151	4426.395
31.8858	4271.772
32.2566	4164.200
32.6274	4113.722
32.9981	4080.097
33.3689	4021.029
33.7397	4042.438
34.1104	3961.417
34.4812	3865.642
34.8520	3796.002
35.2227	3810.317
35.5935	3738.344
35.9643	3792.641
36.3350	3761.587
36.7058	3714.153
37.0766	3710.881
37.4473	3759.523
37.8181	3690.906
38.1889	3668.307
38.5596	3658.401
38.9304	3658.228
39.3012	3611.905
39.6719	3637.754
40.0427	3603.044
40.4134	3581.935
40.7842	3551.777
41.1550	3487.655
41.5257	3496.815
41.8965	3513.989
42.2673	3585.764
42.6380	3597.156
43.0088	3655.295
43.3796	3659.891
43.7503	3703.921
44.1211	3783.333
44.4919	3818.238
44.8626	3800.810
45.2334	3818.592
45.6042	3834.630
45.9749	3937.462
46.3457	3898.773
46.7165	3957.691
47.0872	4040.668
47.4580	4089.504
47.8288	4094.934
48.1995	4133.775
48.5703	4199.840
48.9411	4298.972
49.3118	4313.823
49.6826	4264.863
50.0534	4361.863
50.4241	4469.744
50.7949	4491.371
51.1657	4537.591
51.5364	4646.425
51.9072	4646.933
52.2780	4713.917
52.6487	4674.554
53.0195	4803.283
53.3902	4888.532
53.7610	4905.582
54.1318	4891.969
54.5025	4840.649
54.8733	4770.754
55.2441	4750.800
55.6148	4732.277
55.9856	4755.749
56.3564	4853.343
56.7271	4846.652
57.0979	4881.327
57.4687	4875.887
57.8394	4874.823
58.2102	4843.340
58.5810	4833.000
58.9517	4848.842
59.3225	4829.831
59.6933	4825.079
60.0640	4822.373
60.4348	4880.542
60.8056	4936.167
61.1763	4952.661
61.5471	4870.074
61.9179	4896.943
62.2886	4925.287
62.6594	4949.380
63.0302	5072.967
63.4009	5059.459
63.7717	5087.605
64.1424	5073.953
64.5132	5050.652
64.8840	5048.759
65.2547	5065.623
65.6255	5112.020
65.9963	5070.277
66.3670	5114.612
66.7378	5103.188
67.1086	5122.435
67.4793	5158.367
67.8501	5081.591
68.2209	5089.835
68.5916	5165.834
68.9624	5179.605
69.3332	5162.456
69.7039	5176.159
70.0747	5226.515
70.4455	5319.066
70.8162	5307.659
71.1870	5318.551
71.5578	5384.937
71.9285	5386.891
72.2993	5387.555
72.6701	5388.288
73.0408	5366.884
73.4116	5346.886
73.7824	5504.447
74.1531	5530.729
74.5239	5485.793
74.8947	5412.909
75.2654	5423.389
75.6362	5503.875
76.0070	5504.313
76.3777	5455.211
76.7485	5421.625
77.1192	5438.100
77.4900	5494.501
77.8608	5479.935
78.2315	5431.156
78.6023	5458.479
78.9731	5513.161
79.3438	5434.194
79.7146	5389.037
80.0854	5373.765
80.4561	5383.438
80.8269	5415.204
