Distance_(nm)	Gray_Value
0.000	7150.955
0.371	7181.135
0.742	7213.408
1.112	7215.371
1.483	7135.597
1.854	7133.089
2.225	7099.742
2.595	7158.411
2.966	7159.443
3.337	7166.459
3.708	7069.965
4.078	6924.541
4.449	6831.631
4.820	6709.572
5.191	6664.471
5.561	6552.918
5.932	6491.602
6.303	6558.120
6.674	6456.231
7.045	6299.697
7.415	6208.338
7.786	6171.029
8.157	6197.528
8.528	6110.015
8.898	6124.773
9.269	6120.060
9.640	6094.125
10.011	6062.188
10.381	6181.428
10.752	6055.433
11.123	5962.653
11.494	6046.640
11.864	6098.408
12.235	6008.936
12.606	6086.847
12.977	6358.041
13.348	6417.179
13.718	6452.556
14.089	6479.727
14.460	6650.745
14.831	6763.938
15.201	6829.352
15.572	6739.785
15.943	6667.176
16.314	6602.734
16.684	6583.655
17.055	6571.012
17.426	6479.587
17.797	6452.388
18.168	6425.301
18.538	6444.797
18.909	6523.053
19.280	6490.756
19.651	6489.795
20.021	6567.138
20.392	6571.463
20.763	6761.137
21.134	6745.892
21.504	6760.651
21.875	6779.416
22.246	6902.121
22.617	6973.541
22.987	7087.072
23.358	7090.338
23.729	7030.206
24.100	6861.555
24.471	6708.733
24.841	6655.393
25.212	6533.093
25.583	6459.323
25.954	6320.767
26.324	6320.845
26.695	6425.232
27.066	6492.931
27.437	6613.067
27.807	6644.017
28.178	6628.661
28.549	6533.618
28.920	6522.272
29.290	6487.478
29.661	6484.884
30.032	6561.631
30.403	6643.830
30.774	6531.648
31.144	6629.869
31.515	6767.306
31.886	6691.977
32.257	6627.351
32.627	6517.838
32.998	6274.561
33.369	6211.683
33.740	6213.065
34.110	6360.630
34.481	6551.767
34.852	6770.783
35.223	6893.100
35.593	6865.600
35.964	6929.162
36.335	6978.088
36.706	6878.211
37.077	7016.507
37.447	7055.623
37.818	7091.457
38.189	7046.153
38.560	6868.481
38.930	6770.746
39.301	6835.622
39.672	6706.477
40.043	6744.650
40.413	6764.773
40.784	6836.085
41.155	7045.494
41.526	7084.030
41.897	7213.078
42.267	7176.433
42.638	7094.822
43.009	7139.898
43.380	7205.410
43.750	7150.142
44.121	6994.165
44.492	6836.374
44.863	6798.075
45.233	6750.331
45.604	6565.813
45.975	6500.605
46.346	6475.695
46.716	6387.595
47.087	6217.990
47.458	6164.571
47.829	6186.197
48.200	6197.670
48.570	6123.803
48.941	6223.267
49.312	6318.088
49.683	6492.093
50.053	6690.759
50.424	6701.606
50.795	6652.000
51.166	6700.477
51.536	6796.646
51.907	6666.234
52.278	6471.009
52.649	6293.944
53.019	6234.715
53.390	6261.904
53.761	6204.106
54.132	6117.901
54.503	6136.771
54.873	6196.272
55.244	6210.960
55.615	6316.117
55.986	6312.173
56.356	6265.022
56.727	6350.876
57.098	6308.069
57.469	6053.270
57.839	5787.235
58.210	5625.064
58.581	5538.751
58.952	5374.984
59.322	5109.928
59.693	4778.344
60.064	4525.160
60.435	4404.304
60.806	4306.990
61.176	4187.262
61.547	4118.600
61.918	4046.359
62.289	3900.824
62.659	3895.396
63.030	3882.652
63.401	3833.027
63.772	3778.459
64.142	3707.899
64.513	3667.223
64.884	3675.164
65.255	3624.234
65.626	3582.339
65.996	3541.220
66.367	3480.825
66.738	3517.388
67.109	3500.781
67.479	3486.461
67.850	3511.961
68.221	3514.061
68.592	3498.813
68.962	3502.953
69.333	3455.869
69.704	3453.361
70.075	3506.455
70.445	3553.726
70.816	3569.637
71.187	3657.604
71.558	3678.339
71.929	3688.227
72.299	3728.945
72.670	3815.467
73.041	3832.718
73.412	3860.965
73.782	3854.823
74.153	3934.994
74.524	3875.199
74.895	3947.634
75.265	4024.739
75.636	4072.415
76.007	4139.154
76.378	4212.957
76.748	4206.289
77.119	4244.032
77.490	4292.157
77.861	4339.292
78.232	4416.372
78.602	4412.939
78.973	4546.069
79.344	4593.510
79.715	4688.246
80.085	4763.916
80.456	4769.726
80.827	4881.223
81.198	4874.263
81.568	4904.712
81.939	5001.929
82.310	5147.923
82.681	5146.911
83.051	5205.148
83.422	5301.150
83.793	5305.292
84.164	5319.373
84.535	5343.676
84.905	5283.435
85.276	5324.816
85.647	5326.932
86.018	5276.428
86.388	5326.955
86.759	5280.109
87.130	5273.808
