Distance_(nm)	Gray_Value
0.0000	7065.476
0.3708	7011.773
0.7415	6955.688
1.1123	7017.521
1.4831	6971.894
1.8538	6971.431
2.2246	6962.299
2.5954	6931.989
2.9661	6920.458
3.3369	6940.853
3.7077	6923.525
4.0784	6871.875
4.4492	6796.442
4.8200	6723.845
5.1907	6788.103
5.5615	6860.323
5.9322	6869.307
6.3030	6717.118
6.6738	6680.797
7.0445	6680.084
7.4153	6530.225
7.7861	6398.318
8.1568	6315.460
8.5276	6083.124
8.8984	6044.856
9.2691	5926.753
9.6399	5835.618
10.0107	5718.814
10.3814	5685.153
10.7522	5663.412
11.1230	5676.948
11.4937	5757.502
11.8645	5780.860
12.2353	5820.991
12.6060	6026.103
12.9768	6104.538
13.3476	6195.330
13.7183	6282.576
14.0891	6377.547
14.4599	6392.660
14.8306	6422.849
15.2014	6370.645
15.5722	6352.998
15.9429	6263.108
16.3137	6152.251
16.6845	6081.454
17.0552	6181.836
17.4260	5939.185
17.7967	5857.329
18.1675	5846.062
18.5383	5853.149
18.9090	5763.773
19.2798	5896.647
19.6506	6029.319
20.0213	6075.417
20.3921	6151.082
20.7629	6155.994
21.1336	6300.718
21.5044	6205.020
21.8752	6310.086
22.2459	6299.330
22.6167	6143.345
22.9875	6019.180
23.3582	5956.075
23.7290	5909.412
24.0998	5766.555
24.4705	5743.412
24.8413	5743.180
25.2121	5792.946
25.5828	5845.752
25.9536	5786.619
26.3244	5592.771
26.6951	5350.444
27.0659	5147.972
27.4367	4893.547
27.8074	4716.576
28.1782	4561.485
28.5490	4434.779
28.9197	4347.205
29.2905	4322.317
29.6612	4248.182
30.0320	4205.318
30.4028	4119.180
30.7735	4085.770
31.1443	4039.648
31.5151	4018.315
31.8858	3935.125
32.2566	3989.217
32.6274	3958.703
32.9981	3952.115
33.3689	3940.196
33.7397	3904.640
34.1104	3814.307
34.4812	3898.200
34.8520	3888.844
35.2227	3850.241
35.5935	3726.177
35.9643	3649.245
36.3350	3591.511
36.7058	3594.014
37.0766	3605.791
37.4473	3598.439
37.8181	3547.267
38.1889	3629.813
38.5596	3562.280
38.9304	3570.242
39.3012	3601.620
39.6719	3629.767
40.0427	3716.125
40.4134	3738.103
40.7842	3620.796
41.1550	3660.225
41.5257	3719.424
41.8965	3753.606
42.2673	3781.571
42.6380	3757.786
43.0088	3733.862
43.3796	3889.269
43.7503	3954.790
44.1211	3937.388
44.4919	4003.801
44.8626	4102.805
45.2334	4111.678
45.6042	4156.489
45.9749	4212.495
46.3457	4265.197
46.7165	4315.484
47.0872	4444.661
47.4580	4464.979
47.8288	4511.334
48.1995	4609.780
48.5703	4615.324
48.9411	4761.522
49.3118	4798.221
49.6826	4830.592
50.0534	4905.555
50.4241	5002.247
50.7949	4901.799
51.1657	5036.471
51.5364	5188.018
51.9072	5268.883
52.2780	5290.514
52.6487	5239.578
53.0195	5189.621
53.3902	5146.313
53.7610	5094.932
54.1318	5166.816
54.5025	5303.817
54.8733	5412.846
55.2441	5474.139
55.6148	5462.149
55.9856	5382.026
56.3564	5231.824
56.7271	5267.525
57.0979	5262.528
57.4687	5286.601
57.8394	5294.735
58.2102	5264.285
58.5810	5358.099
58.9517	5487.400
59.3225	5518.358
59.6933	5611.386
60.0640	5580.556
60.4348	5544.750
60.8056	5471.889
61.1763	5382.525
61.5471	5360.775
61.9179	5412.529
62.2886	5424.115
62.6594	5456.115
63.0302	5449.273
63.4009	5485.998
63.7717	5432.138
64.1424	5399.458
64.5132	5365.575
64.8840	5400.535
65.2547	5403.979
65.6255	5332.583
65.9963	5353.069
66.3670	5358.469
66.7378	5344.057
67.1086	5415.392
67.4793	5520.432
67.8501	5559.866
68.2209	5577.632
68.5916	5612.952
68.9624	5649.383
69.3332	5656.051
69.7039	5628.614
70.0747	5517.829
70.4455	5425.884
70.8162	5389.645
71.1870	5380.980
71.5578	5388.452
71.9285	5402.563
72.2993	5380.469
72.6701	5426.117
73.0408	5436.606
73.4116	5467.262
73.7824	5510.253
74.1531	5525.419
74.5239	5531.787
74.8947	5643.446
75.2654	5719.857
75.6362	5644.900
76.0070	5486.098
76.3777	5372.807
76.7485	5373.649
77.1192	5330.198
77.4900	5422.931
77.8608	5454.194
78.2315	5420.123
78.6023	5418.301
78.9731	5350.626
79.3438	5394.411
79.7146	5513.085
80.0854	5527.684
80.4561	5489.238
80.8269	5460.928
81.1977	5415.697
81.5684	5359.681
81.9392	5397.905
82.3100	5447.215
